seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_sex
1,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.36246262786655,0.317086246852429,0,1.71428571428571,72,118.285714285714,1,1,0
2,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,1.71018781553424,0.360347522433801,1.71428571428571,12,13.7142857142857,36,0,0,0
3,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,3.06582720421725,0.740427949667762,0,1.71428571428571,48,70.2857142857143,1,1,0
4,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,0.85015092936961,0.348183741483692,1.71428571428571,12,13.7142857142857,36,0,0,0
5,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,0.904015700998542,0.340404637270206,0,1.71428571428571,12,22.2857142857143,1,1,0
6,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,2.37954613413017,0.470811407727538,1.71428571428571,12,37.7142857142857,60,0,0,0
7,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.44350138488947,0.379969651674058,0,1.71428571428571,72,118.285714285714,1,1,0
8,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,2.34180580614733,0.332734892387811,1.71428571428571,12,37.7142857142857,60,0,0,0
9,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.63639138199436,1.04641007805495,0,1.71428571428571,72,118.285714285714,1,1,0
10,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,2.13537281400063,0.569157979482484,0,1.71428571428571,48,70.2857142857143,1,1,0
11,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,0.27763173659828,0.482454148662932,1.71428571428571,12,0,1.71428571428571,0,0,0
12,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,-0.592216461981505,0.439761932424197,0,1.71428571428571,24,46.2857142857143,1,1,0
13,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,2.04898233419513,0.428931482668161,1.71428571428571,12,0,1.71428571428571,0,0,0
14,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.04464876572468,0.331991874780705,0,1.71428571428571,12,22.2857142857143,1,1,0
15,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,2.39264515136169,1.49366101321843,0,1.71428571428571,120,180,1,1,0
16,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,0.77794778225241,0.391672404886026,0,1.71428571428571,48,70.2857142857143,1,1,0
17,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,2.64617479738412,0.587966776236701,1.71428571428571,12,60,90,0,0,0
18,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,0.117160619773577,0.58615285129667,0,1.71428571428571,1.71428571428571,10.2857142857143,1,1,0
19,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,-0.0215301185503632,0.321881186873059,0,1.71428571428571,24,46.2857142857143,1,1,0
20,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.69852879242451,0.337167549264491,0,1.71428571428571,120,180,1,1,0
21,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.2979002103573,0.672502733738647,0,1.71428571428571,24,46.2857142857143,1,1,0
22,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,-0.320480784203167,0.316388641238364,0,1.71428571428571,12,22.2857142857143,1,1,0
23,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,-1.15995591890916,0.518819261440471,0,1.71428571428571,1.71428571428571,10.2857142857143,1,1,0
24,102,drugs_alcohol,521,cirrhosis,298283,9023,0,continuous,gday,0.587786664902119,0.296722145358592,0,0,42.66,63.99,1,0,0
25,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,0.822243753894355,0.319944914684413,0,1.71428571428571,48,70.2857142857143,1,1,0
26,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,2.02867442462618,1.48867839433709,0,1.71428571428571,72,118.285714285714,1,1,0
27,102,drugs_alcohol,521,cirrhosis,298272,9023,0,continuous,gday,3.01553490085017,0.326243396045677,1.71428571428571,12,60,90,0,0,0
28,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,2.02415343654517,1.0549969509652,0,1.71428571428571,120,180,1,1,0
29,102,drugs_alcohol,521,cirrhosis,298283,9023,0,continuous,gday,-1.20397280432594,0.611707977754686,0,0,1,40.527,1,0,0
30,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,-0.464737519573236,0.35311873717932,0,1.71428571428571,1.71428571428571,10.2857142857143,1,1,0
31,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.68439695089956,0.406944619423685,0,1.71428571428571,120,180,1,1,0
32,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,0.0737150378222807,0.320988472709938,0,1.71428571428571,1.71428571428571,10.2857142857143,1,1,0
33,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.48083151494388,0.55902915202563,0,1.71428571428571,12,22.2857142857143,1,1,0
34,102,drugs_alcohol,521,cirrhosis,298277,9023,0,continuous,gday,1.08984059628099,0.389902428685152,0,1.71428571428571,24,46.2857142857143,1,1,0
35,102,drugs_alcohol,521,cirrhosis,450726,9023,0,continuous,gday,1.44691898293633,0.213267831789121,1,11.3,11.4,17.1,1,0,1
36,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,-0.105360515657826,0.172805822344849,0,1.28571428571429,1.28571428571429,7.71428571428571,1,0,1
37,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,0.425267735404344,0.182715024325152,0,1.28571428571429,9,16.7142857142857,1,0,1
38,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,0.65232518603969,0.168366064602818,0,1.28571428571429,18,34.7142857142857,1,0,1
39,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,1.07158361628019,0.163231074986482,0,1.28571428571429,36,54,1,0,1
40,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,0.27763173659828,0.252562731662411,0,1.28571428571429,1.28571428571429,7.71428571428571,1,0,1
41,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,0.896088024556636,0.258061457060837,0,1.28571428571429,9,16.7142857142857,1,0,1
42,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,1.01884732019925,0.246832659760639,0,1.28571428571429,18,34.7142857142857,1,0,1
43,102,drugs_alcohol,521,cirrhosis,439874,9023,0,continuous,gday,1.39376637595859,0.241159837921127,0,1.28571428571429,36,54,1,0,1
44,102,drugs_alcohol,521,cirrhosis,528660,9023,0,continuous,gday,0.72270598280149,0.268855130038317,1,5.33,5.33,20.44,1,0,1
45,102,drugs_alcohol,521,cirrhosis,528660,9023,0,continuous,gday,1.89911798754855,0.241240512802675,1,5.33,20.45,30.675,1,0,1
46,102,drugs_alcohol,521,cirrhosis,309734,9023,0,continuous,gday,0.113328685307003,0.196207420290272,0,0.142857142857143,0.142857142857143,19.8571428571429,1,1,0
47,102,drugs_alcohol,521,cirrhosis,309734,9023,0,continuous,gday,-0.174353387144778,0.183227832064036,0,0.142857142857143,20,39.8571428571429,1,1,0
48,102,drugs_alcohol,521,cirrhosis,309734,9023,0,continuous,gday,0.148420005118273,0.154899171112046,0,0.142857142857143,40,59.8571428571429,1,1,0
49,102,drugs_alcohol,521,cirrhosis,309734,9023,0,continuous,gday,0.198850858745165,0.196057448480652,0,0.142857142857143,60,99.8571428571429,1,1,0
50,102,drugs_alcohol,521,cirrhosis,309734,9023,0,continuous,gday,0.553885113226438,0.180971352406052,0,0.142857142857143,100,150,1,1,0
51,102,drugs_alcohol,521,cirrhosis,298278,9023,0,continuous,gday,-1.56064774826467,0.452313095973444,0,0,0,1.4,1,0,1
52,102,drugs_alcohol,521,cirrhosis,298278,9023,0,continuous,gday,-0.371063681390832,0.538319693965967,0,0,1.5,4.9,1,0,1
53,102,drugs_alcohol,521,cirrhosis,298278,9023,0,continuous,gday,0.2390169004705,0.438297504638929,0,0,5,14.9,1,0,1
54,102,drugs_alcohol,521,cirrhosis,298278,9023,0,continuous,gday,0.62057648772511,0.45875430351383,0,0,15,29.9,1,0,1
55,102,drugs_alcohol,521,cirrhosis,298278,9023,0,continuous,gday,0.936093359170335,0.446851496188655,0,0,30,45,1,0,1
56,102,drugs_alcohol,521,cirrhosis,528686,9023,0,continuous,gday,-0.385662480811985,0.0603032597102629,0,0,0,0.5,1,0,1
57,102,drugs_alcohol,521,cirrhosis,528686,9023,0,continuous,gday,0.60431596685333,0.0681531726354551,0.142857142857143,40.1428571428571,40.1428571428571,60.2142857142857,1,0,1
58,102,drugs_alcohol,521,cirrhosis,539446,9023,0,continuous,gday,-0.127833371509885,0.146050814482482,0,0,0,31.31,0,1,1
59,102,drugs_alcohol,521,cirrhosis,539446,9023,0,continuous,gday,0.0392207131532813,0.142297406298516,0,0,31.32,46.98,0,1,1
60,102,drugs_alcohol,521,cirrhosis,539448,9023,0,continuous,gday,0.625938430866495,0.0544831888515457,0.142857142857143,39.8571428571429,40,60,1,0,1
61,102,drugs_alcohol,521,cirrhosis,539450,9023,0,continuous,gday,0.512823626428664,0.602918461406969,10,40,50,75,0,1,1
62,102,drugs_alcohol,521,cirrhosis,528662,9023,0,continuous,gday,-0.415515443961666,0.176823260346925,0,0,0,14,1,0,1
63,102,drugs_alcohol,521,cirrhosis,528662,9023,0,continuous,gday,0.802001585472027,0.196983987224259,0,0,28,42,1,0,1
64,102,drugs_alcohol,521,cirrhosis,528662,9023,0,continuous,gday,0.0676586484738149,0.233747635682182,0,0,0,14,1,0,1
65,102,drugs_alcohol,521,cirrhosis,528662,9023,0,continuous,gday,1.00795792039998,0.297450562857675,0,0,28,42,1,0,1
66,102,drugs_alcohol,521,cirrhosis,528658,9023,0,continuous,gday,0.708035793053696,0.111142573138944,0,14,14,42,1,0,1
67,102,drugs_alcohol,521,cirrhosis,528658,9023,0,continuous,gday,1.76473079684014,0.0993361479412245,0,14,56,84,1,0,1
