seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
1,102,drugs_alcohol,500,cvd_afib,298343,9023,0,continuous,gday,0.113328685307003,0.168724102613614,0,0,24.1,36,0,0
2,102,drugs_alcohol,500,cvd_afib,298343,9023,0,continuous,gday,0.0582689081239758,0.139088533286562,0,0,12.1,24,0,0
3,102,drugs_alcohol,500,cvd_afib,298343,9023,0,continuous,gday,0.29266961396282,0.144556896288476,0,0,36,54,0,0
4,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.131028262406404,0.247923618119634,0.4,1.8,24,53.6,0,0
5,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.22314355131421,0.17394072074133,1.5,6.7,31.2,41,0,0
6,102,drugs_alcohol,500,cvd_afib,298343,9023,0,continuous,gday,-0.0304592074847086,0.114110259705017,0,0,1,12,0,0
7,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.378436435720245,0.16942848053232,1.5,6.7,45.9,91.5,0,0
8,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.0392207131532813,0.182011955305375,1.5,6.7,10,14.2,0,0
9,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.2390169004705,0.238799326318963,0.4,1.8,7.7,11.1,0,0
10,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.0861776962410524,0.241142415496788,0.4,1.8,3.1,6.1,0,0
11,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.207014169384326,0.240934083887972,0.4,1.8,13,18.2,0,0
12,102,drugs_alcohol,500,cvd_afib,298347,9023,0,continuous,gday,0.832909122935104,0.601375849359449,0,0,14,28,0,0
13,102,drugs_alcohol,500,cvd_afib,298347,9023,0,continuous,gday,0.470003629245736,0.602258673754597,0,0,2,28,0,0
14,102,drugs_alcohol,500,cvd_afib,298347,9023,0,continuous,gday,0.916290731874155,0.725247326275913,0,0,0.98,3.73333333333333,0,0
15,102,drugs_alcohol,500,cvd_afib,298347,9023,0,continuous,gday,-0.0304592074847086,0.595758907096183,0,0,0,0.933333333333333,0,0
16,102,drugs_alcohol,500,cvd_afib,298349,9023,0,continuous,gday,0.8754687373539,0.274110902318635,0,0,48,72,0,0
17,102,drugs_alcohol,500,cvd_afib,298349,9023,0,continuous,gday,0.262364264467491,0.176823260346925,0,0,18.2857142857143,48,0,0
18,102,drugs_alcohol,500,cvd_afib,298349,9023,0,continuous,gday,0.0953101798043249,0.142759129575363,0,0,6.85714285714286,17.1428571428571,0,0
19,102,drugs_alcohol,500,cvd_afib,298345,9023,0,continuous,gday,0.364643113587909,0.168090308397373,1.5,6.7,17,23,0,0
20,102,drugs_alcohol,500,cvd_afib,298504,9023,0,continuous,gday,0.53062825106217,0.219439098271202,0,0,23.7,35.55,0,0
21,102,drugs_alcohol,500,cvd_afib,298504,9023,0,continuous,gday,0.336472236621213,0.163738236268468,0,0,9.02857142857143,23.7,0,0
22,102,drugs_alcohol,500,cvd_afib,298504,9023,0,continuous,gday,0.182321556793955,0.146776567577439,0,0,1.12857142857143,7.9,0,0
23,102,drugs_alcohol,500,cvd_afib,298504,9023,0,continuous,gday,-0.22314355131421,0.115302327485474,0,0,1.14285714285714,5.71428571428571,0,0
24,102,drugs_alcohol,500,cvd_afib,298347,9023,0,continuous,gday,1.68639895357023,0.580680557315478,0,0,29.4,44.1,0,0
25,102,drugs_alcohol,500,cvd_afib,525541,9023,0,continuous,gday,0.048790164169432,0.0194457564765011,0,9.9,10,15,0,0
26,102,drugs_alcohol,500,cvd_afib,525563,9023,0,continuous,gday,-0.0202027073175195,0.139787033345777,0,0,1,1.5,1,0
27,102,drugs_alcohol,500,cvd_afib,525563,9023,0,continuous,gday,-0.083381608939051,0.18020214472193,0,0,1,12,1,0
28,102,drugs_alcohol,500,cvd_afib,525563,9023,0,continuous,gday,-0.0408219945202552,0.139616148864128,0,0,12.1,24,1,0
29,102,drugs_alcohol,500,cvd_afib,525563,9023,0,continuous,gday,-0.3147107448397,0.147355687101556,0,0,24.1,48,1,0
30,102,drugs_alcohol,500,cvd_afib,525563,9023,0,continuous,gday,-0.162518929497775,0.176823260346925,0,0,48,72,1,0
31,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.0392207131532813,0.0874859058997016,0,0,0,0.0714285714285714,0,0
32,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0,0.160163796467393,0,0,0.142857142857143,0.428571428571429,0,0
33,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.048790164169432,0.0985005472614881,0,0,0.428571428571429,1,0,0
34,102,drugs_alcohol,500,cvd_afib,439473,9023,0,continuous,gday,0.322083499169113,0.135081060402588,0,0,1,1.5,0,0
35,102,drugs_alcohol,500,cvd_afib,525581,9023,0,continuous,gday,0.0769610411361284,0.135183490454482,0,0,1,40,0,0
36,102,drugs_alcohol,500,cvd_afib,525581,9023,0,continuous,gday,0.350656871613169,0.164128997704306,0,0,40,60,0,0
