seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_sex
1,102,drugs_alcohol,496,cvd_stroke_cerhem,298330,9023,0,continuous,gday,0.385262401,0.196456179,0,0,46,68.9,1,1,1
2,102,drugs_alcohol,496,cvd_stroke_cerhem,309695,9023,0,continuous,gday,1.360976553,0.63144729,0,0,70,105,0,1,1
3,102,drugs_alcohol,496,cvd_stroke_cerhem,431872,9023,0,continuous,gday,-0.076961041,0.230023452,0,0,0,1.714285714,0,1,1
4,102,drugs_alcohol,496,cvd_stroke_cerhem,155207,9023,0,continuous,gday,-0.274436846,0.172054859,0,0,5,14.9,0,1,1
5,102,drugs_alcohol,496,cvd_stroke_cerhem,428841,9023,0,continuous,gday,-0.174353387,0.072513147,0,1.428571429,20.00000001,28.57142858,0,1,0
6,102,drugs_alcohol,496,cvd_stroke_cerhem,428293,9023,0,continuous,gday,-0.020202707,0.105552018,0,0,11.42857143,24.17000001,0,1,0
7,102,drugs_alcohol,496,cvd_stroke_cerhem,429803,9023,0,continuous,gday,-0.301105093,0.308408251,0,0,15,22.5,1,1,1
8,102,drugs_alcohol,496,cvd_stroke_cerhem,428941,9023,0,continuous,gday,0.131028262,0.119898885,0,32,32,48,0,1,1
9,102,drugs_alcohol,496,cvd_stroke_cerhem,428941,9023,0,continuous,gday,0.615185639,0.139900085,0,24,24,36,0,1,1
10,102,drugs_alcohol,496,cvd_stroke_cerhem,431872,9023,0,continuous,gday,1.05431203,0.523884114,0,1.714285714,35.99999999,53.99999999,0,1,1
11,102,drugs_alcohol,496,cvd_stroke_cerhem,431967,9023,0,continuous,gday,-0.105360516,0.340853209,0,0,0,15,0,1,1
12,102,drugs_alcohol,496,cvd_stroke_cerhem,324091,9023,0,continuous,gday,0.688134639,0.316498513,0,0.930952381,7.447619048,11.17142857,0,1,0
13,102,drugs_alcohol,496,cvd_stroke_cerhem,309688,9023,0,continuous,gday,0.182321557,0.113848751,0,0,1.142857143,8.000000001,0,1,1
14,102,drugs_alcohol,496,cvd_stroke_cerhem,428884,9023,0,continuous,gday,-0.563874845,0.123018571,0,0,0,0.434444444,0,1,0
15,102,drugs_alcohol,496,cvd_stroke_cerhem,298282,9023,0,continuous,gday,0,0.514005873,0,0,23.3378268,45.89772604,1,1,1
16,102,drugs_alcohol,496,cvd_stroke_cerhem,428884,9023,0,continuous,gday,-0.432322562,0.085768243,0,0,0.434444444,26.06666664,0,1,0
17,102,drugs_alcohol,496,cvd_stroke_cerhem,309688,9023,0,continuous,gday,0.2390169,0.191078479,0,0,25.14285715,38.85714286,1,1,1
18,102,drugs_alcohol,496,cvd_stroke_cerhem,298330,9023,0,continuous,gday,0.770108222,0.224402194,0,0,69,103.5,1,1,1
19,102,drugs_alcohol,496,cvd_stroke_cerhem,309688,9023,0,continuous,gday,0.364643114,0.133055718,0,0,25.14285715,38.85714286,0,1,1
20,102,drugs_alcohol,496,cvd_stroke_cerhem,431872,9023,0,continuous,gday,-0.405465108,0.259602864,0,0,0,1.714285714,0,1,1
21,102,drugs_alcohol,496,cvd_stroke_cerhem,431967,9023,0,continuous,gday,-0.755022584,0.575053956,0,0,15,30,0,1,1
22,102,drugs_alcohol,496,cvd_stroke_cerhem,428884,9023,0,continuous,gday,0.569283193,0.158553802,0,0,65.16666665,97.74999998,0,1,0
23,102,drugs_alcohol,496,cvd_stroke_cerhem,428884,9023,0,continuous,gday,-0.196014884,0.17682326,0,0,26.06666666,65.16666665,0,1,0
24,102,drugs_alcohol,496,cvd_stroke_cerhem,298282,9023,0,continuous,gday,-1.203972804,0.587394156,0,0,46.6756536,69.23555284,1,1,1
25,102,drugs_alcohol,496,cvd_stroke_cerhem,309688,9023,0,continuous,gday,0.593326845,0.198674139,0,0,40.00000001,60.00000001,1,1,1
26,102,drugs_alcohol,496,cvd_stroke_cerhem,309688,9023,0,continuous,gday,0.207014169,0.199880419,0,0,17.14285715,24,0,1,1
27,102,drugs_alcohol,496,cvd_stroke_cerhem,309688,9023,0,continuous,gday,0.482426149,0.174595281,0,0,17.14285715,24,1,1,1
28,102,drugs_alcohol,496,cvd_stroke_cerhem,309734,9023,0,continuous,gday,0.113328685,0.052337002,0,0,20.00000002,39.8571429,1,1,1
29,102,drugs_alcohol,496,cvd_stroke_cerhem,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,0
30,102,drugs_alcohol,496,cvd_stroke_cerhem,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,0
31,102,drugs_alcohol,496,cvd_stroke_cerhem,431872,9023,0,continuous,gday,0.165514438,0.602525936,0,1.714285714,25.71428571,35.99999999,0,1,1
32,102,drugs_alcohol,496,cvd_stroke_cerhem,298330,9023,0,continuous,gday,0.019802627,0.199789115,0,0,23,45.9,1,1,1
33,102,drugs_alcohol,496,cvd_stroke_cerhem,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,0
34,102,drugs_alcohol,496,cvd_stroke_cerhem,309682,9023,0,continuous,gday,0,0.511697241,0,0,31.5696,47.3544,0,1,1
35,102,drugs_alcohol,496,cvd_stroke_cerhem,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,0
36,102,drugs_alcohol,496,cvd_stroke_cerhem,324087,9023,0,continuous,gday,0.157003749,0.475788455,0,0.333333333,0.333333333,19.99999998,0,1,0
37,102,drugs_alcohol,496,cvd_stroke_cerhem,428841,9023,0,continuous,gday,-0.186329578,0.064498812,0,1.428571429,10,18.57142858,0,1,0
38,102,drugs_alcohol,496,cvd_stroke_cerhem,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,0
39,102,drugs_alcohol,496,cvd_stroke_cerhem,324092,9023,0,continuous,gday,-0.105360516,0.250211544,0,0,30,50,0,1,0
40,102,drugs_alcohol,496,cvd_stroke_cerhem,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,0
41,102,drugs_alcohol,496,cvd_stroke_cerhem,129944,9023,0,continuous,gday,0.2390169,0.164029948,0,0,50,50,1,1,1
42,102,drugs_alcohol,496,cvd_stroke_cerhem,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,0
43,102,drugs_alcohol,496,cvd_stroke_cerhem,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,0
44,102,drugs_alcohol,496,cvd_stroke_cerhem,129944,9023,0,continuous,gday,0.412109651,0.102742705,0,0,60,90,1,1,1
