seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_inc
1,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,-0.020202707,0.108760891,0,0.930952381,0,5.585714286,0,1,1
2,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,1
3,102,drugs_alcohol,495,cvd_stroke_isch,428833,9023,0,continuous,gday,0.463734016,0.77104931,0,0,50,60,0,1,1
4,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.086177696,0.30585721,0,1.714285714,35.99999999,53.99999999,0,1,1
5,102,drugs_alcohol,495,cvd_stroke_isch,428455,9023,0,continuous,gday,-0.105360516,0.198845731,1.428571429,15.47142858,15.47142858,23.20714286,0,1,1
6,102,drugs_alcohol,495,cvd_stroke_isch,429889,9023,0,continuous,gday,-0.579818495,0.267037556,0,0,1.285714286,12.85714286,1,1,1
7,102,drugs_alcohol,495,cvd_stroke_isch,428455,9023,0,continuous,gday,0.314710745,0.13212834,0,1.428571429,1.428571429,15.47142858,0,1,1
8,102,drugs_alcohol,495,cvd_stroke_isch,428841,9023,0,continuous,gday,-0.020202707,0.031276103,0,1.428571429,40.00000001,60.00000002,0,1,1
9,102,drugs_alcohol,495,cvd_stroke_isch,309682,9023,0,continuous,gday,0,0.511697241,0,0,31.5696,47.3544,0,1,1
10,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
11,102,drugs_alcohol,495,cvd_stroke_isch,298332,9023,0,continuous,gday,0.09531018,0.226352856,0,0,31.1171024,46.6756536,0,1,1
12,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.139761942,0.111534134,0,1.714285714,35.99999999,53.99999999,0,1,1
13,102,drugs_alcohol,495,cvd_stroke_isch,432321,9023,0,continuous,gday,1.156881197,0.471831388,0,30,30,45,1,1,1
14,102,drugs_alcohol,495,cvd_stroke_isch,428833,9023,0,continuous,gday,-0.314710745,0.54412814,0,0,30,40,0,1,1
15,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,-0.113328685,0.108064905,0,0,0,1.714285714,0,1,1
16,102,drugs_alcohol,495,cvd_stroke_isch,298323,9023,0,continuous,gday,-0.820980552,0.522370623,0,0,12,24,0,1,1
17,102,drugs_alcohol,495,cvd_stroke_isch,155207,9023,0,continuous,gday,-0.010050336,0.275821568,0,0,30,45,0,1,1
18,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,1
19,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
20,102,drugs_alcohol,495,cvd_stroke_isch,298320,9023,0,continuous,gday,-0.094310679,0.117227635,0,0,0,24,0,1,1
21,102,drugs_alcohol,495,cvd_stroke_isch,428833,9023,0,continuous,gday,-0.967584026,0.133807262,0,0,0,10,0,1,1
22,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,-0.040821995,0.063443017,0,1.714285714,1.714285714,10.28571428,0,1,1
23,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
24,102,drugs_alcohol,495,cvd_stroke_isch,429723,9023,0,continuous,gday,-0.086177696,0.079486631,0,0,0,6,0,1,1
25,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.067658648,0.237526994,0,1.714285714,25.71428571,35.99999999,0,1,1
26,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.058268908,0.052636845,0.1,4.9,5,14.9,0,1,1
27,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,-0.15082289,0.114292021,0,1.714285714,12,24,0,1,1
28,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
29,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,0.270027137,0.179581147,0,0.930952381,33.51428572,50.27142857,0,1,1
30,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
31,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
32,102,drugs_alcohol,495,cvd_stroke_isch,428841,9023,0,continuous,gday,-0.186329578,0.027522694,0,1.428571429,10,18.57142858,0,1,1
33,102,drugs_alcohol,495,cvd_stroke_isch,309682,9023,0,continuous,gday,0.357674444,0.351868799,0,0,11.8386,30.78036,0,1,1
34,102,drugs_alcohol,495,cvd_stroke_isch,429295,9023,0,continuous,gday,-0.693147181,0.280258237,0,0,2.85714286,9.985714296,0,1,1
35,102,drugs_alcohol,495,cvd_stroke_isch,429889,9023,0,continuous,gday,-0.478035801,0.339299654,0,0,14.14285715,27.00000001,1,1,1
36,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.364643114,0.133055718,0,0,25.14285715,38.85714286,0,1,1
37,102,drugs_alcohol,495,cvd_stroke_isch,129944,9023,0,continuous,gday,0.412109651,0.102742705,0,0,60,90,1,1,1
38,102,drugs_alcohol,495,cvd_stroke_isch,298315,9023,0,continuous,gday,-0.261364764,0.337182612,0,0,14.2857143,55.71428577,0,1,1
39,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,1
40,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,0.058268908,0.119138521,0,0.930952381,7.447619048,31.65238095,0,1,1
41,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
42,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.2390169,0.191078479,0,0,25.14285715,38.85714286,1,1,1
43,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.113328685,0.072729956,0.1,4.9,30,59.9,0,1,1
44,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.020202707,0.105552018,0,0,11.42857143,24.17000001,0,1,1
45,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
46,102,drugs_alcohol,495,cvd_stroke_isch,298317,9023,0,continuous,gday,1.483874689,0.712505296,0,0,42.8571429,64.28571435,0,1,1
47,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,-0.186329578,0.12715346,0,0,9.142857144,16,0,1,1
48,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.207014169,0.199880419,0,0,17.14285715,24,0,1,1
49,102,drugs_alcohol,495,cvd_stroke_isch,429295,9023,0,continuous,gday,-0.510825624,0.353646521,0,0,10.00000001,15.00000002,0,1,1
50,102,drugs_alcohol,495,cvd_stroke_isch,432126,9023,0,continuous,gday,0.076961041,0.392605982,0,0,8.00000001,12.00000002,0,1,1
51,102,drugs_alcohol,495,cvd_stroke_isch,429889,9023,0,continuous,gday,-0.597837001,0.337182612,0,0,27.00000001,40.50000001,1,1,1
52,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.15082289,0.065618078,0,0,0,10,0,1,1
53,102,drugs_alcohol,495,cvd_stroke_isch,309696,9023,0,continuous,gday,0.129272336,0.870023931,0,11,11,22,1,1,1
54,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.3074847,0.105722903,0.1,4.9,60,90,0,1,1
55,102,drugs_alcohol,495,cvd_stroke_isch,428841,9023,0,continuous,gday,-0.139262067,0.193287169,0,1.428571429,30.00000001,38.57142858,0,1,1
56,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,0.058268908,0.119138521,0,0.930952381,7.447619048,31.65238095,0,1,1
57,102,drugs_alcohol,495,cvd_stroke_isch,324091,9023,0,continuous,gday,-0.020202707,0.108760891,0,0.930952381,0,5.585714286,0,1,1
58,102,drugs_alcohol,495,cvd_stroke_isch,428841,9023,0,continuous,gday,-0.15082289,0.014922502,0,1.428571429,1.428571429,8.571428574,0,1,1
59,102,drugs_alcohol,495,cvd_stroke_isch,298317,9023,0,continuous,gday,-0.15082289,0.474013913,0,0,21.42857145,42.8571429,0,1,1
60,102,drugs_alcohol,495,cvd_stroke_isch,429295,9023,0,continuous,gday,-0.223143551,0.24375292,0,0,0.014285714,2.842857146,0,1,1
61,102,drugs_alcohol,495,cvd_stroke_isch,309695,9023,0,continuous,gday,-0.510825624,0.410570896,0,0.913263429,1,20,0,1,1
62,102,drugs_alcohol,495,cvd_stroke_isch,309695,9023,0,continuous,gday,-0.223143551,0.337182612,0,0.913263429,21,41,0,1,1
63,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.438254931,0.148966298,0,0,40.00000001,60.00000001,0,1,1
64,102,drugs_alcohol,495,cvd_stroke_isch,309695,9023,0,continuous,gday,0.530628251,0.31550067,0,0.913263429,70,105,0,1,1
65,102,drugs_alcohol,495,cvd_stroke_isch,309734,9023,0,continuous,gday,0.438254931,0.062450267,0,0,100.0000001,150.0000002,1,1,1
66,102,drugs_alcohol,495,cvd_stroke_isch,428293,9023,0,continuous,gday,-0.094310679,0.164955909,0,0,24.17000001,36.25500001,0,1,1
67,102,drugs_alcohol,495,cvd_stroke_isch,309688,9023,0,continuous,gday,0.182321557,0.151216325,0,0,1.142857143,8.000000001,1,1,1
68,102,drugs_alcohol,495,cvd_stroke_isch,428841,9023,0,continuous,gday,-0.174353387,0.027522694,0,1.428571429,20.00000001,28.57142858,0,1,1
69,102,drugs_alcohol,495,cvd_stroke_isch,431872,9023,0,continuous,gday,0.039220713,0.082537751,0,1.714285714,12,24,0,1,1
70,102,drugs_alcohol,495,cvd_stroke_isch,431103,9023,0,continuous,gday,0.104360015,0.064110824,0.1,4.9,15,29.9,0,1,1
