seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
1,102,drugs_alcohol,976,diabetes_typ2,249643,9023,0,continuous,gday,0.947789399,0.330933862,0,0,43.99999999,65.99999998,0,1
2,102,drugs_alcohol,976,diabetes_typ2,249643,9023,0,continuous,gday,-0.478035801,0.232436054,0,0,1.571428571,20.42857142,0,1
3,102,drugs_alcohol,976,diabetes_typ2,249643,9023,0,continuous,gday,-0.891598119,0.548070003,0,0,21.99999999,42.42857142,0,1
4,102,drugs_alcohol,976,diabetes_typ2,309585,9023,0,continuous,gday,-0.186329578,0.143932015,0,0,10,30,0,1
5,102,drugs_alcohol,976,diabetes_typ2,249643,9023,0,continuous,gday,-0.010050336,0.293570929,0,0,21.99999999,42.42857142,0,1
6,102,drugs_alcohol,976,diabetes_typ2,295304,9023,0,continuous,gday,0.336472237,0.151033435,0,0,39.540924,59.311386,0,1
7,102,drugs_alcohol,976,diabetes_typ2,255356,9023,0,continuous,gday,-0.19062036,0.087969512,0,0,1.142857143,21.576,0,1
8,102,drugs_alcohol,976,diabetes_typ2,309583,9023,0,continuous,gday,0.173953307,0.126999599,0,0,7.2,13.71428571,0,1
9,102,drugs_alcohol,976,diabetes_typ2,309582,9023,0,continuous,gday,0.223143551,0.289663986,0.01,6.79,22.14,33.21,0,1
10,102,drugs_alcohol,976,diabetes_typ2,309583,9023,0,continuous,gday,0.148420005,0.124069583,0,0,38.65714286,57.98571429,0,1
11,102,drugs_alcohol,976,diabetes_typ2,165634,9023,0,continuous,gday,-0.127833372,0.119898885,0,0,0,5.714285714,0,1
12,102,drugs_alcohol,976,diabetes_typ2,309583,9023,0,continuous,gday,-0.061875404,0.107871646,0,0,19.8,37.71428571,0,1
13,102,drugs_alcohol,976,diabetes_typ2,309586,9023,0,continuous,gday,0.542324291,0.33507194,0,21.35714286,21.35714286,42.71428571,0,1
14,102,drugs_alcohol,976,diabetes_typ2,309584,9023,0,continuous,gday,-0.210721031,0.145728919,0,0,1,76,0,1
15,102,drugs_alcohol,976,diabetes_typ2,309584,9023,0,continuous,gday,-0.061875404,0.149945578,0,0,77,153,0,1
16,102,drugs_alcohol,976,diabetes_typ2,295304,9023,0,continuous,gday,-0.223143551,0.172308062,0,0,22.966884,39.462,0,1
17,102,drugs_alcohol,976,diabetes_typ2,309582,9023,0,continuous,gday,-0.105360516,0.383693213,0.01,1.49,8.76,13.14,0,1
