seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_age
1,102,drugs_alcohol,535,digest_pancreatitis,298307,9023,0,continuous,gday,0.262364264467491,0.246194106133568,0,0,20,28.5714285714286,0
2,102,drugs_alcohol,535,digest_pancreatitis,298307,9023,0,continuous,gday,0.0953101798043249,0.176823260346925,0,0,1.42857142857143,8.57142857142857,0
3,102,drugs_alcohol,535,digest_pancreatitis,298309,9023,0,continuous,gday,0.78845736036427,0.201137081725579,0,40,41,80,1
4,102,drugs_alcohol,535,digest_pancreatitis,298307,9023,0,continuous,gday,0.182321556793955,0.20686995311641,0,0,10,18.5714285714286,0
5,102,drugs_alcohol,535,digest_pancreatitis,298307,9023,0,continuous,gday,1.09861228866811,0.324097588161931,0,0,68.5714285714286,102.857142857143,0
6,102,drugs_alcohol,535,digest_pancreatitis,298307,9023,0,continuous,gday,0.955511445027436,0.314322367676692,0,0,50,68.5714285714286,0
7,102,drugs_alcohol,535,digest_pancreatitis,298307,9023,0,continuous,gday,0.262364264467491,0.292125587832399,0,0,30,48.5714285714286,0
8,102,drugs_alcohol,535,digest_pancreatitis,309647,9023,0,continuous,gday,0,0.176823260346925,0,0,1,19,0
9,102,drugs_alcohol,535,digest_pancreatitis,309647,9023,0,continuous,gday,0.693147180559945,0.229792486055661,0,0,20,39,0
10,102,drugs_alcohol,535,digest_pancreatitis,309647,9023,0,continuous,gday,1.19392246847243,0.248612153060748,0,0,40,59,0
11,102,drugs_alcohol,535,digest_pancreatitis,309647,9023,0,continuous,gday,1.79175946922805,0.258061457060837,0,0,60,79,0
12,102,drugs_alcohol,535,digest_pancreatitis,309647,9023,0,continuous,gday,2.09186406167839,0.298487564451596,0,0,80,99,0
13,102,drugs_alcohol,535,digest_pancreatitis,309647,9023,0,continuous,gday,2.34180580614733,0.264707037979189,0,0,100,150,0
14,102,drugs_alcohol,535,digest_pancreatitis,283302,9023,0,continuous,gday,-0.0943106794712413,0.485774860371109,0,0,0.0298630136986301,1.67830136986301,0
15,102,drugs_alcohol,535,digest_pancreatitis,283302,9023,0,continuous,gday,0.828551817566148,0.513194736639001,0,0,1.67830136986301,2.23972602739726,0
16,102,drugs_alcohol,535,digest_pancreatitis,528786,9023,0,continuous,gday,-0.23572233352107,0.121947908403826,0,0.4,0.5,3,0
17,102,drugs_alcohol,535,digest_pancreatitis,528786,9023,0,continuous,gday,-0.0943106794712413,0.119455614629386,0,0.4,3,4.5,0
18,102,drugs_alcohol,535,digest_pancreatitis,528786,9023,0,continuous,gday,-0.162518929497775,0.214842540745008,0,0.4,0.5,3,0
19,102,drugs_alcohol,535,digest_pancreatitis,528786,9023,0,continuous,gday,-0.356674943938732,0.223333861569872,0,0.4,3,4.5,0
20,102,drugs_alcohol,535,digest_pancreatitis,309650,9023,0,continuous,gday,-0.162518929497775,0.102199613171525,0,0,12,23,1
21,102,drugs_alcohol,535,digest_pancreatitis,309650,9023,0,continuous,gday,-0.356674943938732,0.181977012213639,0,0,24,48,1
22,102,drugs_alcohol,535,digest_pancreatitis,309650,9023,0,continuous,gday,0.0582689081239758,0.176823260346925,0,0,49,73.5,1
23,102,drugs_alcohol,535,digest_pancreatitis,309650,9023,0,continuous,gday,-0.210721031315653,0.0943924385490859,0,0,1,11,1
24,102,drugs_alcohol,535,digest_pancreatitis,309650,9023,0,continuous,gday,-0.371063681390832,0.229066732960704,0,0,12,23,1
25,102,drugs_alcohol,535,digest_pancreatitis,309650,9023,0,continuous,gday,-0.150822889734584,0.199934713242901,0,0,24,36,1
26,102,drugs_alcohol,535,digest_pancreatitis,528802,9023,0,continuous,gday,1.5830939370945,0.434214864836928,2,18,20,30,0
