seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_diet,cov_hypercholeserolemia,cov_other_disease
1,102,drugs_alcohol,322,lri,453341,9023,0,continuous,gday,0.524728529,0.124447986,0,20,20,30,0,1,1,1,1
2,102,drugs_alcohol,322,lri,453567,9023,0,continuous,gday,1.223775432,0.507379473,0,80,80,120,0,1,1,1,1
3,102,drugs_alcohol,322,lri,453704,9023,0,continuous,gday,1.65441127807683,0.662560161929061,1,99,100,150,0,0,0,0,0
4,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.0512932943875506,0.122015926546028,0,0,1,20,0,0,0,0,0
5,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.127833371509885,0.168593448556562,0,0,21,40,0,0,0,0,0
6,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,0.350656871613169,0.22356482767059,0,0,41,80,0,0,0,0,0
7,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,0.85015092936961,0.371622722506414,0,0,81,121.5,0,0,0,0,0
8,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.0202027073175195,0.118258351764144,0,0,1,20,0,0,0,0,0
9,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,0.0861776962410524,0.442826278273877,0,0,21,40,0,0,0,0,0
10,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.22314355131421,0.677530901955935,0,0,41,61.5,0,0,0,0,0
11,102,drugs_alcohol,322,lri,453704,9023,0,continuous,gday,1.65441127807683,0.662560161929061,1,99,100,150,1,1,1,1,1
12,102,drugs_alcohol,322,lri,298306,9023,0,continuous,gday,-0.186329578191493,0.313849518531456,0,0,1,5.07,0,1,1,1,1
13,102,drugs_alcohol,322,lri,298306,9023,0,continuous,gday,0.300104592450338,0.284637778645529,0,0,5.08,14.11,0,1,1,1,1
14,102,drugs_alcohol,322,lri,298306,9023,0,continuous,gday,0.425267735404344,0.27446021367106,0,0,14.12,35.51,0,1,1,1,1
15,102,drugs_alcohol,322,lri,298306,9023,0,continuous,gday,0.198850858745165,0.323477153220958,0,0,35.52,53.28,0,1,1,1,1
16,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.285178942233662,0.163322647731021,0,0,0,5,1,0,0,1,1
17,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.0392207131532813,0.2097294134569,0,0,5.1,10,1,0,0,1,1
18,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.122217632724249,0.208752633549477,0,0,10.1,15,1,0,0,1,1
19,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.3293037471426,0.204112066355131,0,0,15.1,30,1,0,0,1,1
20,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.157003748809665,0.212332732326568,0,0,30.1,45.15,1,0,0,1,1
21,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,-0.0943106794712413,0.129593047812334,0,0,0,5,1,0,0,1,1
22,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,-0.116533816255952,0.221125172094588,0,0,5.1,10,1,0,0,1,1
23,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.182321556793955,0.258061457060837,0,0,10.1,15,1,0,0,1,1
24,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.0198026272961797,0.366092991145235,0,0,15.1,30,1,0,0,1,1
25,102,drugs_alcohol,322,lri,298305,9023,0,continuous,gday,0.157003748809665,0.511222190584511,0,0,30.1,45.15,1,0,0,1,1
26,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.0512932943875506,0.122015926546028,0,0,0,20,0,1,1,1,1
27,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.127833371509885,0.168593448556562,0,0,21,40,0,1,1,1,1
28,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,0.350656871613169,0.22356482767059,0,0,41,80,0,1,1,1,1
29,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,0.85015092936961,0.371622722506414,0,0,81,121.5,0,1,1,1,1
30,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.0202027073175195,0.118258351764144,0,0,0,20,0,1,1,1,1
31,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,0.0861776962410524,0.442826278273877,0,0,21,40,0,1,1,1,1
32,102,drugs_alcohol,322,lri,298304,9023,0,continuous,gday,-0.22314355131421,0.677530901955935,0,0,41,61.5,0,1,1,1,1
33,102,drugs_alcohol,322,lri,309652,9023,0,continuous,gday,-0.174353387144778,0.105923796697329,0,0,1.42857142857143,30,1,0,1,1,1
34,102,drugs_alcohol,322,lri,309652,9023,0,continuous,gday,-0.3147107448397,0.252328585670005,0,0,31.4285714285714,47.1428571428571,1,0,1,1,1
