seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_smoking
1,102,drugs_alcohol,429,neo_breast,309768,9023,0,continuous,gday,-0.342490308946776,1.10519814439542,0,0,14,21,0,1,1
2,102,drugs_alcohol,429,neo_breast,296202,9023,0,continuous,gday,0.2390169004705,0.0960401967436,0,0,14,27.8,0,0,0
3,102,drugs_alcohol,429,neo_breast,296199,9023,0,continuous,gday,-0.230545881080972,0.3260644913763,0,0,1,3,0,0,1
4,102,drugs_alcohol,429,neo_breast,309775,9023,0,continuous,gday,0.993251773010283,0.381503482929817,0,0,40,60,0,0,0
5,102,drugs_alcohol,429,neo_breast,309757,9023,0,continuous,gday,0.0861776962410524,0.0814874415220309,0,1.5,37.1,55.65,0,0,0
6,102,drugs_alcohol,429,neo_breast,309796,9023,0,continuous,gday,0.587786664902119,0.376087534200471,0,0,20,30,0,0,0
7,102,drugs_alcohol,429,neo_breast,309795,9023,0,continuous,gday,0.113328685307003,0.764727111279761,0,0,23,34.5,0,0,0
8,102,drugs_alcohol,429,neo_breast,298275,9023,0,continuous,gday,0.182321556793955,0.119898885011667,0,0,12,22.8,1,0,0
9,102,drugs_alcohol,429,neo_breast,296194,9023,0,continuous,gday,0.0676586484738149,0.0334255771444908,0,0,1,4.9,0,0,0
10,102,drugs_alcohol,429,neo_breast,309768,9023,0,continuous,gday,-0.0202027073175195,0.57177917396662,0,0,1,4,0,1,1
11,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,-1.20397280432594,0.72275850613679,0,0,1,4,0,0,0
12,102,drugs_alcohol,429,neo_breast,309757,9023,0,continuous,gday,0.00995033085316809,0.0552368143355843,0,1.5,0,0,0,0,0
13,102,drugs_alcohol,429,neo_breast,309796,9023,0,continuous,gday,-0.0943106794712413,0.291670454721812,0,0,11.4285714285714,20,0,0,0
14,102,drugs_alcohol,429,neo_breast,309784,9023,0,continuous,gday,0.0861776962410524,0.210000078777588,0,0,5,14,0,0,0
15,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,0,0.63390475759898,0,0,5,14,0,0,0
16,102,drugs_alcohol,429,neo_breast,296190,9023,0,continuous,gday,0.307484699747961,0.258626467348988,0,0,10,15,1,0,0
17,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,-0.22314355131421,0.519612736546184,0,0,1,4,0,0,0
18,102,drugs_alcohol,429,neo_breast,309788,9023,0,continuous,gday,0.53062825106217,0.165966215852334,0,0,7.61,20.4,0,0,1
19,102,drugs_alcohol,429,neo_breast,296200,9023,0,continuous,gday,0,0.194423482665025,0,0,1,4.99,0,0,1
20,102,drugs_alcohol,429,neo_breast,309798,9023,0,continuous,gday,-0.22314355131421,0.201137081725579,0,0.333,10,10,0,0,0
21,102,drugs_alcohol,429,neo_breast,309793,9023,0,continuous,gday,0.741937344729377,0.322874074829407,0,0,24.35,36.525,0,0,1
22,102,drugs_alcohol,429,neo_breast,296202,9023,0,continuous,gday,0.215111379616945,0.111799727278356,0,0,28,42,0,0,0
23,102,drugs_alcohol,429,neo_breast,309768,9023,0,continuous,gday,0.122217632724249,0.273733532366954,0,0,1,4,0,1,1
24,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,0.0953101798043249,0.679231588526901,0,0,15,29,0,0,0
25,102,drugs_alcohol,429,neo_breast,309795,9023,0,continuous,gday,0.207014169384326,0.47059999983892,0,0,11.5,23,0,0,0
26,102,drugs_alcohol,429,neo_breast,309804,9023,0,continuous,gday,-0.693147180559945,0.859004038261856,0,0,5,14,0,0,0
27,102,drugs_alcohol,429,neo_breast,296199,9023,0,continuous,gday,-0.0692429027421607,0.318230688251963,0,0,3,15,0,0,1
28,102,drugs_alcohol,429,neo_breast,309801,9023,0,continuous,gday,-0.356674943938732,0.44250026923166,0,0,28,42,0,0,0
29,102,drugs_alcohol,429,neo_breast,309773,9023,0,continuous,gday,0.182321556793955,0.192288725096015,0,0,15,29.9,0,0,1
30,102,drugs_alcohol,429,neo_breast,309798,9023,0,continuous,gday,0,0.194423482665025,0,0.333,20,30,0,0,0
31,102,drugs_alcohol,429,neo_breast,296200,9023,0,continuous,gday,0.405465108108164,0.310304929674616,0,0,5,9.99,0,0,1
32,102,drugs_alcohol,429,neo_breast,309806,9023,0,continuous,gday,0.0953101798043249,0.400157121916797,0,0,1,1.2,0,0,0
