seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_edu
1,102,drugs_alcohol,441,neo_colorectal,309620,9023,0,continuous,gday,0.0253753063312283,0.0697697544540369,0,1.42857142857143,20,40,0,0,1
2,102,drugs_alcohol,441,neo_colorectal,298366,9023,0,continuous,gday,-0.0408219945202552,0.140726433236287,0,0,1,12.8142857142857,0,0,0
3,102,drugs_alcohol,441,neo_colorectal,162613,9023,0,continuous,gday,0.425267735404344,0.248509723008853,0,1.42857142857143,1.42857142857143,10,0,0,1
4,102,drugs_alcohol,441,neo_colorectal,309623,9023,0,continuous,gday,0.246860077931526,0.171216396388054,0,0,0,10,0,0,0
5,102,drugs_alcohol,441,neo_colorectal,296193,9023,0,continuous,gday,-0.0100503358535015,0.26845950791259,0,0,8,14,1,0,0
6,102,drugs_alcohol,441,neo_colorectal,296134,9023,0,continuous,gday,0.959350221334602,0.555966762678619,0,0,77.1428571428571,115.714285714286,1,0,0
7,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,0,0.225648477948871,0,0,1,4.9,0,0,0
8,102,drugs_alcohol,441,neo_colorectal,296193,9023,0,continuous,gday,0.048790164169432,0.276041578244107,0,0,16,24,1,0,0
9,102,drugs_alcohol,441,neo_colorectal,309632,9023,0,continuous,gday,0.398776119957368,0.203445713235762,0,0,22,33,0,0,1
10,102,drugs_alcohol,441,neo_colorectal,163043,9023,0,continuous,gday,0.122217632724249,0.192872705604723,0,0,20,29.9,1,0,0
11,102,drugs_alcohol,441,neo_colorectal,309621,9023,0,continuous,gday,0.0676586484738149,0.360766109499226,0,0,14.14,28,0,1,1
12,102,drugs_alcohol,441,neo_colorectal,309621,9023,0,continuous,gday,0.285178942233662,0.225303771287707,0,0,7.14,14,0,1,1
13,102,drugs_alcohol,441,neo_colorectal,309632,9023,0,continuous,gday,0.048790164169432,0.178541125699309,0,0,12,20,0,0,1
14,102,drugs_alcohol,441,neo_colorectal,309639,9023,0,continuous,gday,0.371563556432483,0.300677294985114,0,0,24.459,36.6885,0,0,1
15,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,0.2390169004705,0.371803734588721,0,0,30,45,0,0,0
16,102,drugs_alcohol,441,neo_colorectal,309629,9023,0,continuous,gday,0.048790164169432,0.219871596889887,0,0,15,29.9,0,0,0
17,102,drugs_alcohol,441,neo_colorectal,309618,9023,0,continuous,gday,0.661656513468574,0.150699064142692,0,5,30,45,0,1,1
18,102,drugs_alcohol,441,neo_colorectal,162613,9023,0,continuous,gday,0.425267735404344,0.287960015547769,0,1.42857142857143,10,15,0,0,1
19,102,drugs_alcohol,441,neo_colorectal,296193,9023,0,continuous,gday,0.0769610411361284,0.301982167604188,0,0,30,45,1,0,0
