seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age
1,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,1.41098697371026,0.537212958864284,0,10,130,195,0,0
2,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,1.50407739677627,0.410570896029107,0,10,90,120,0,0
3,102,drugs_alcohol,423,neo_larynx,296189,9023,0,continuous,gday,-0.132160903602339,0.377990876759334,0,8,8,16,0,1
4,102,drugs_alcohol,423,neo_larynx,309643,9023,0,continuous,gday,0.610091605422619,0.286027614476319,0,0,0.466666666666667,0.933333333333333,0,1
5,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,1.1314021114911,0.304116925173197,0,10,50,80,0,0
6,102,drugs_alcohol,423,neo_larynx,309641,9023,0,continuous,gday,-0.212822002242338,0.589360443554423,0,8,10,28,0,1
7,102,drugs_alcohol,423,neo_larynx,309643,9023,0,continuous,gday,0.893472361793475,0.237567296697554,0,0,0.466666666666667,14,0,1
8,102,drugs_alcohol,423,neo_larynx,309643,9023,0,continuous,gday,1.26211906341939,0.228071211538017,0,0,14.4666666666667,21.7,0,1
9,102,drugs_alcohol,423,neo_larynx,298505,9023,0,continuous,gday,-0.22314355131421,0.495839171761962,0,0,11.4285714285714,40,0,1
10,102,drugs_alcohol,423,neo_larynx,298147,9023,0,continuous,gday,-0.22314355131421,0.36911198544294,0,0,0.142857142857143,20.5714285714286,0,0
11,102,drugs_alcohol,423,neo_larynx,309644,9023,0,continuous,gday,0.61901613121687,0.594217784353891,0,0,6.85714285714286,10.2857142857143,0,1
12,102,drugs_alcohol,423,neo_larynx,309645,9023,0,continuous,gday,0.715642258387316,0.584822764085974,0,14,14,28,0,1
13,102,drugs_alcohol,423,neo_larynx,309641,9023,0,continuous,gday,0.374937169739206,0.408869242305233,0,8,30,45,0,1
14,102,drugs_alcohol,423,neo_larynx,309653,9023,0,continuous,gday,0.451075619360217,0.332578512783321,0,0,30,45,0,0
15,102,drugs_alcohol,423,neo_larynx,296189,9023,0,continuous,gday,0.149798365088395,0.413409266367983,0,8,8,16,0,1
16,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,1.06471073699243,0.475710358225241,0,10,130,195,0,0
17,102,drugs_alcohol,423,neo_larynx,309653,9023,0,continuous,gday,-0.0408219945202552,0.330985496789101,0,0,15,29.9,0,0
18,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,1.1314021114911,0.429475990966281,0,10,90,120,0,0
19,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,0.405465108108164,0.176823260346925,0,10,30,40,0,0
20,102,drugs_alcohol,423,neo_larynx,309645,9023,0,continuous,gday,1.33181177582014,0.555589079031913,0,14,42,84,0,1
21,102,drugs_alcohol,423,neo_larynx,309644,9023,0,continuous,gday,0.297434363894459,0.499520750320261,0,0,1.14285714285714,5.71428571428571,0,1
22,102,drugs_alcohol,423,neo_larynx,298138,9023,0,continuous,gday,0.993251773010283,0.966799839656617,0,0,30,42.8571428571429,0,0
23,102,drugs_alcohol,423,neo_larynx,296189,9023,0,continuous,gday,1.02528862424927,0.428798029894795,0,8,24,48,0,1
24,102,drugs_alcohol,423,neo_larynx,298505,9023,0,continuous,gday,0.639060514656179,0.55011442542751,0,0,41.4285714285714,62.1428571428571,0,1
25,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,0.53062825106217,0.229066732960704,0,10,30,40,0,0
26,102,drugs_alcohol,423,neo_larynx,296167,9023,0,continuous,gday,1.88706964903238,0.509718342404562,0,10,130,195,0,0
27,102,drugs_alcohol,423,neo_larynx,309645,9023,0,continuous,gday,2.20727391318922,0.739980053465489,0,14,98,147,0,1
28,102,drugs_alcohol,423,neo_larynx,298505,9023,0,continuous,gday,-0.287682072451781,0.512639694809453,0,0,1.42857142857143,10,0,1
