seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_otherdrug
1,102,drugs_alcohol,417,neo_liver,125934,9023,0,continuous,gday,0.641853886172395,0.374065578773833,0,0,57.1428571428571,85.7142857142857,0,0,1
2,102,drugs_alcohol,417,neo_liver,125934,9023,0,continuous,gday,-0.356674943938732,0.410570896029107,0,0,28.5714285714286,55.7142857142857,0,0,1
3,102,drugs_alcohol,417,neo_liver,125934,9023,0,continuous,gday,-0.22314355131421,0.319582389922288,0,0,1,28.5714285714286,0,0,1
4,102,drugs_alcohol,417,neo_liver,144367,9023,0,continuous,gday,0.157003748809665,0.545935245789865,0,10,40,60,0,1,0
5,102,drugs_alcohol,417,neo_liver,144367,9023,0,continuous,gday,1.96009478404727,1.19048854599948,0,5,20,30,0,1,0
6,102,drugs_alcohol,417,neo_liver,144367,9023,0,continuous,gday,-0.891598119283784,0.44687605474856,0,10,10,40,0,1,0
7,102,drugs_alcohol,417,neo_liver,144367,9023,0,continuous,gday,-0.562118918153541,0.72701030524016,0,5,5,20,0,1,0
8,102,drugs_alcohol,417,neo_liver,296140,9023,0,continuous,gday,0.2390169004705,0.416870031893998,0,0,1,19,0,1,0
9,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,0.506817602368452,0.473303717349384,0,0,0.00216438356164384,8.65753424657534,0,0,1
10,102,drugs_alcohol,417,neo_liver,296134,9023,0,continuous,gday,1.24990173621434,0.670108357443782,0,0,0.142857142857143,1.71428571428571,1,0,1
11,102,drugs_alcohol,417,neo_liver,296144,9023,0,continuous,gday,1.02961941718116,0.646856881418731,0,0,1,22.7,0,0,1
12,102,drugs_alcohol,417,neo_liver,296145,9023,0,continuous,gday,0.405465108108164,0.130312659123977,0,0,100,150,1,0,1
13,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,0.672944473242426,0.489010870454607,0,0,71.4246575342466,107.13698630137,0,0,1
14,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,1.71739505393919,0.989074675508265,0,0,71.4246575342466,107.13698630137,0,0,1
15,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,0.924258901523332,0.486835809426994,0,0,34.6301369863014,71.4246575342466,0,0,1
16,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,0.157003748809665,0.425152124049502,0,0,8.65753424657534,34.6301369863014,0,0,1
17,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,0.783901543828409,0.483207774146971,0,0,8.65753424657534,34.6301369863014,0,0,1
18,102,drugs_alcohol,417,neo_liver,296158,9023,0,continuous,gday,0.00995033085316809,0.378924812184725,0,0,0.00216438356164384,8.65753424657534,0,0,1
19,102,drugs_alcohol,417,neo_liver,296144,9023,0,continuous,gday,0.993251773010283,0.614590517360282,0,0,22.8,34.2,0,0,1
20,102,drugs_alcohol,417,neo_liver,296159,9023,0,continuous,gday,0.325988906606368,0.311728236568887,0,9,70,105,0,1,1
21,102,drugs_alcohol,417,neo_liver,296159,9023,0,continuous,gday,0.287657072139276,0.316780166460555,0,9,40,69,0,1,1
22,102,drugs_alcohol,417,neo_liver,296160,9023,0,continuous,gday,1.67397018355214,0.730287060642122,0,0,80,120,0,1,1
23,102,drugs_alcohol,417,neo_liver,296160,9023,0,continuous,gday,1.47329740474146,0.768703739300017,0,0,61,80,0,1,1
24,102,drugs_alcohol,417,neo_liver,296160,9023,0,continuous,gday,1.18561533228968,0.719510536888054,0,0,41,60,0,1,1
25,102,drugs_alcohol,417,neo_liver,296133,9023,0,continuous,gday,0.806475865866949,0.216396901932444,0,0,20,30,0,0,0
26,102,drugs_alcohol,417,neo_liver,296133,9023,0,continuous,gday,0.00995033085316809,0.381320154110704,0,0,10,20,0,0,0
27,102,drugs_alcohol,417,neo_liver,296133,9023,0,continuous,gday,-0.23572233352107,0.149464706685293,0,0,1,10,0,0,0
28,102,drugs_alcohol,417,neo_liver,296154,9023,0,continuous,gday,0.858661619037519,0.417825471365978,0,0,42.606,63.909,0,0,1
29,102,drugs_alcohol,417,neo_liver,296134,9023,0,continuous,gday,-0.23572233352107,0.476866761115798,0,0,77.1428571428571,115.714285714286,1,0,1
30,102,drugs_alcohol,417,neo_liver,296148,9023,0,continuous,gday,1.50407739677627,0.601570138813484,0,0,63.2,94.8,0,1,1
31,102,drugs_alcohol,417,neo_liver,296142,9023,0,continuous,gday,2.9704144655697,0.72844170743621,0,0,85.32,127.98,0,0,1
32,102,drugs_alcohol,417,neo_liver,296134,9023,0,continuous,gday,0.0582689081239758,1.06549779009962,0,0,1.71428571428571,2.57142857142857,1,0,1
33,102,drugs_alcohol,417,neo_liver,296142,9023,0,continuous,gday,0.470003629245736,0.625256402579673,0,0,21.33,40.527,0,0,1
34,102,drugs_alcohol,417,neo_liver,296134,9023,0,continuous,gday,-0.0618754037180875,0.457081497252055,0,0,19.8571428571429,77.1428571428571,1,0,1
35,102,drugs_alcohol,417,neo_liver,296139,9023,0,continuous,gday,0.0861776962410524,0.176823260346925,0,0,100,150,0,0,1
36,102,drugs_alcohol,417,neo_liver,296139,9023,0,continuous,gday,-0.0512932943875506,0.122015926546028,0,0,50,99,0,0,1
37,102,drugs_alcohol,417,neo_liver,296139,9023,0,continuous,gday,-0.162518929497775,0.107105572847006,0,0,25,49,0,0,1
38,102,drugs_alcohol,417,neo_liver,296139,9023,0,continuous,gday,-0.22314355131421,0.091748870427773,0,0,1,24,0,0,1
39,102,drugs_alcohol,417,neo_liver,296134,9023,0,continuous,gday,-0.0943106794712413,0.450278372996401,0,0,0.142857142857143,19.7142857142857,1,0,1
40,102,drugs_alcohol,417,neo_liver,296140,9023,0,continuous,gday,0.0198026272961797,0.559681441834503,0,0,20,39,0,1,0
41,102,drugs_alcohol,417,neo_liver,296141,9023,0,continuous,gday,-0.356674943938732,0.286557372770021,0,0,0.789,41.817,0,0,1
42,102,drugs_alcohol,417,neo_liver,296141,9023,0,continuous,gday,0.385262400790645,0.21728372722872,0,0,63.909,95.8635,0,0,1
