seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_age
1,102,drugs_alcohol,444,neo_mouth,298505,9023,0,continuous,gday,0.287432041196572,0.701222939784618,0,0,11.4285714285714,40,1
2,102,drugs_alcohol,444,neo_mouth,296189,9023,0,continuous,gday,1.04055935721949,0.410522534688502,0,8,24,48,1
3,102,drugs_alcohol,444,neo_mouth,309653,9023,0,continuous,gday,2.01490302054226,0.442928652272405,0,0,30,45,0
4,102,drugs_alcohol,444,neo_mouth,296168,9023,0,continuous,gday,1.28093384546206,0.272028425114767,0,0,154,210,0
5,102,drugs_alcohol,444,neo_mouth,296189,9023,0,continuous,gday,0.107957141505092,0.395027189976967,0,8,8,16,1
6,102,drugs_alcohol,444,neo_mouth,298505,9023,0,continuous,gday,1.43758140548791,0.726376201733832,0,0,41.4285714285714,62.1428571428571,1
7,102,drugs_alcohol,444,neo_mouth,296189,9023,0,continuous,gday,1.58214893219643,0.416934591932045,0,8,56,84,1
8,102,drugs_alcohol,444,neo_mouth,309653,9023,0,continuous,gday,0.518793793415168,0.499853027607662,0,0,5,14.9,0
9,102,drugs_alcohol,444,neo_mouth,298505,9023,0,continuous,gday,0.0740865433526982,0.732834318886816,0,0,1.42857142857143,10,1
10,102,drugs_alcohol,444,neo_mouth,296178,9023,0,continuous,gday,0.405465108108164,0.592445847012813,0,0,0.79,79,1
11,102,drugs_alcohol,444,neo_mouth,296178,9023,0,continuous,gday,2.45100509811232,0.640894291830642,0,0,158.79,238.185,1
12,102,drugs_alcohol,444,neo_mouth,309653,9023,0,continuous,gday,1.16315080980568,0.479533251671114,0,0,15,29.9,0
13,102,drugs_alcohol,444,neo_mouth,296168,9023,0,continuous,gday,1.19392246847243,0.258061457060837,0,0,210,315,0
14,102,drugs_alcohol,444,neo_mouth,296164,9023,0,continuous,gday,1.04731899428056,0.198964960402422,0,20,40,80,0
15,102,drugs_alcohol,444,neo_mouth,296168,9023,0,continuous,gday,1.06471073699243,0.219954977194867,0,0,98,140,0
16,102,drugs_alcohol,444,neo_mouth,309653,9023,0,continuous,gday,0.500775287912489,0.452666765849608,0,0,1,4.9,0
17,102,drugs_alcohol,444,neo_mouth,296187,9023,0,continuous,gday,0.920282753143692,0.380374388725704,0,0,70,105,0
18,102,drugs_alcohol,444,neo_mouth,296164,9023,0,continuous,gday,1.57069708411767,0.227373946120041,0,20,80,120,0
19,102,drugs_alcohol,444,neo_mouth,296164,9023,0,continuous,gday,0.371563556432483,0.212707783175999,0,20,20,40,0
20,102,drugs_alcohol,444,neo_mouth,296178,9023,0,continuous,gday,1.91692261218206,0.642702251494686,0,0,79.79,158,1
21,102,drugs_alcohol,444,neo_mouth,296168,9023,0,continuous,gday,0.262364264467491,0.119898885011667,0,0,1,56,0
22,102,drugs_alcohol,444,neo_mouth,296187,9023,0,continuous,gday,-0.843970070294529,0.435326671307614,0,0,1,14,0
23,102,drugs_alcohol,444,neo_mouth,296187,9023,0,continuous,gday,0.451075619360217,0.337984014527905,0,0,28,56,0
24,102,drugs_alcohol,444,neo_mouth,296168,9023,0,continuous,gday,0.993251773010283,0.230728641384478,0,0,70,84,0
25,102,drugs_alcohol,444,neo_mouth,364113,9023,0,continuous,gday,0.231111720963387,0.119898885011667,0.1,9,10,29,0
26,102,drugs_alcohol,444,neo_mouth,364113,9023,0,continuous,gday,0.254642218373581,0.176823260346925,0.1,9,30,49,0
27,102,drugs_alcohol,444,neo_mouth,364113,9023,0,continuous,gday,0.625938430866495,0.300677294985114,0.1,9,50,75,0
28,102,drugs_alcohol,444,neo_mouth,543427,9023,0,continuous,gday,-0.967584026261706,0.287873788729028,0,0.36,0.48,24,1
29,102,drugs_alcohol,444,neo_mouth,543427,9023,0,continuous,gday,0.246860077931526,0.267643880932176,0,0.36,24.12,59.88,1
30,102,drugs_alcohol,444,neo_mouth,543427,9023,0,continuous,gday,0.858661619037519,0.28212712468372,0,0.36,60,95.88,1
31,102,drugs_alcohol,444,neo_mouth,543427,9023,0,continuous,gday,1.71379792775834,0.288753574800293,0,0.36,96,143.88,1
32,102,drugs_alcohol,444,neo_mouth,543427,9023,0,continuous,gday,2.24177295359729,0.30139191967294,0,0.36,144,216,1
33,102,drugs_alcohol,444,neo_mouth,439526,9023,0,continuous,gday,0.048790164169432,0.164796020952613,0,0,1,19,0
34,102,drugs_alcohol,444,neo_mouth,439526,9023,0,continuous,gday,0.46373401623214,0.173414273660148,0,0,20,59,0
35,102,drugs_alcohol,444,neo_mouth,439526,9023,0,continuous,gday,0.924258901523332,0.177538834563151,0,0,60,90,0
36,102,drugs_alcohol,444,neo_mouth,439716,9023,0,continuous,gday,0.246860077931526,0.395429507598193,0,0,0.79,141.41,0
37,102,drugs_alcohol,444,neo_mouth,439716,9023,0,continuous,gday,0.139761942375159,0.358083189753,0,0,142.2,213.3,0
38,102,drugs_alcohol,444,neo_mouth,439731,9023,0,continuous,gday,-0.162518929497775,0.195885389478541,0,0,1,13,0
39,102,drugs_alcohol,444,neo_mouth,439731,9023,0,continuous,gday,0.122217632724249,0.215160557043185,0,0,14,42,0
40,102,drugs_alcohol,444,neo_mouth,439731,9023,0,continuous,gday,0.22314355131421,0.185471615366231,0,0,43,64.5,0
41,102,drugs_alcohol,444,neo_mouth,359129,9023,0,continuous,gday,-0.916290731874155,0.216147413364083,0,0,0,7.2,0
42,102,drugs_alcohol,444,neo_mouth,359129,9023,0,continuous,gday,-0.510825623765991,0.20686995311641,0,0,7.2,24,0
43,102,drugs_alcohol,444,neo_mouth,359129,9023,0,continuous,gday,0.182321556793955,0.20686995311641,0,0,25.2,54,0
44,102,drugs_alcohol,444,neo_mouth,359129,9023,0,continuous,gday,1.16315080980568,0.210887391118487,0,0,54,120,0
45,102,drugs_alcohol,444,neo_mouth,543699,9023,0,continuous,gday,0.207014169384326,0.220662611603726,0.122,10.98,12.2,35.38,0
46,102,drugs_alcohol,444,neo_mouth,543699,9023,0,continuous,gday,0.593326845277734,0.410570896029107,0.122,10.98,36.6,59.78,0
47,102,drugs_alcohol,444,neo_mouth,543699,9023,0,continuous,gday,0.86288995514704,0.57093024792257,0.122,10.98,61,91.5,0
48,102,drugs_alcohol,444,neo_mouth,543699,9023,0,continuous,gday,0.22314355131421,0.146776567577439,0.122,10.98,12.2,35.38,0
49,102,drugs_alcohol,444,neo_mouth,543699,9023,0,continuous,gday,0.182321556793955,0.20686995311641,0.122,10.98,36.6,59.78,0
50,102,drugs_alcohol,444,neo_mouth,543699,9023,0,continuous,gday,0.559615787935423,0.238344193208376,0.122,10.98,61,91.5,0
