seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_age
1,102,drugs_alcohol,450,neo_otherpharynx,296164,9023,0,continuous,gday,1.00795792039998,0.2340423809961,0,20,40,80,0
2,102,drugs_alcohol,450,neo_otherpharynx,296167,9023,0,continuous,gday,1.48160454092422,0.259839178825146,0,10,50,80,0
3,102,drugs_alcohol,450,neo_otherpharynx,296171,9023,0,continuous,gday,1.94591014905531,0.492323930537978,0,0,31.995,47.9925,0
4,102,drugs_alcohol,450,neo_otherpharynx,309653,9023,0,continuous,gday,1.24126858906963,0.440229009834174,0,0,30,45,0
5,102,drugs_alcohol,450,neo_otherpharynx,296171,9023,0,continuous,gday,1.16315080980568,0.508273001196481,0,0,1,31.995,0
6,102,drugs_alcohol,450,neo_otherpharynx,298505,9023,0,continuous,gday,-0.18536618698018,0.60988419244532,0,0,1.42857142857143,10,1
7,102,drugs_alcohol,450,neo_otherpharynx,296167,9023,0,continuous,gday,2.45958884180371,0.427034804482569,0,10,130,195,0
8,102,drugs_alcohol,450,neo_otherpharynx,296187,9023,0,continuous,gday,1.75440368268429,0.680831633100526,0,0,70,105,0
9,102,drugs_alcohol,450,neo_otherpharynx,296187,9023,0,continuous,gday,-0.59783700075562,0.75226031707843,0,0,28,56,0
10,102,drugs_alcohol,450,neo_otherpharynx,296164,9023,0,continuous,gday,0.364643113587909,0.266909813690401,0,20,20,40,0
11,102,drugs_alcohol,450,neo_otherpharynx,298505,9023,0,continuous,gday,0.418710334858185,0.557657703273873,0,0,11.4285714285714,40,1
12,102,drugs_alcohol,450,neo_otherpharynx,296165,9023,0,continuous,gday,0.683096844706444,0.221500385889743,0,0,19.6265,29.43975,0
13,102,drugs_alcohol,450,neo_otherpharynx,298505,9023,0,continuous,gday,0.233648183959295,0.703077133850455,0,0,41.4285714285714,62.1428571428571,1
14,102,drugs_alcohol,450,neo_otherpharynx,296165,9023,0,continuous,gday,0.438254930931155,0.392210309390054,0,0,1,19.6265,0
15,102,drugs_alcohol,450,neo_otherpharynx,296164,9023,0,continuous,gday,1.54756250871601,0.259287715026039,0,20,80,120,0
16,102,drugs_alcohol,450,neo_otherpharynx,296168,9023,0,continuous,gday,1.02961941718116,0.35364652069385,0,0,70,84,0
17,102,drugs_alcohol,450,neo_otherpharynx,309653,9023,0,continuous,gday,-0.328504066972036,0.582918567179372,0,0,15,29.9,0
18,102,drugs_alcohol,450,neo_otherpharynx,296181,9023,0,continuous,gday,-0.189829672284276,0.355435419134137,0,12,14,40,1
19,102,drugs_alcohol,450,neo_otherpharynx,296168,9023,0,continuous,gday,1.80828877117927,0.380744024075306,0,0,154,210,0
20,102,drugs_alcohol,450,neo_otherpharynx,296181,9023,0,continuous,gday,2.03384253036166,0.306668548263843,0,12,42,63,1
21,102,drugs_alcohol,450,neo_otherpharynx,296168,9023,0,continuous,gday,0.182321556793955,0.254726742375288,0,0,1,56,0
22,102,drugs_alcohol,450,neo_otherpharynx,309653,9023,0,continuous,gday,-0.150822889734584,0.531530497915434,0,0,1,4.9,0
23,102,drugs_alcohol,450,neo_otherpharynx,296167,9023,0,continuous,gday,0.470003629245736,0.0779034820283627,0,10,10,20,0
24,102,drugs_alcohol,450,neo_otherpharynx,296167,9023,0,continuous,gday,1.97408102602201,0.339470538256398,0,10,90,120,0
25,102,drugs_alcohol,450,neo_otherpharynx,296168,9023,0,continuous,gday,1.79175946922805,0.368594011578047,0,0,210,315,0
