seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_sex
1,102,drugs_alcohol,456,neo_pancreas,298283,9023,0,continuous,gday,-0.916290731874155,0.941040677069882,0,0,1,40.527,1,0,0
2,102,drugs_alcohol,456,neo_pancreas,296141,9023,0,continuous,gday,0.198850858745165,0.317894828922614,0,0,63.909,95.8635,0,0,1
3,102,drugs_alcohol,456,neo_pancreas,296141,9023,0,continuous,gday,0.703097511413113,0.198243000172775,0,0,0.789,41.817,0,0,1
4,102,drugs_alcohol,456,neo_pancreas,296134,9023,0,continuous,gday,1.01884732019925,0.91934755393572,0,0,19.8571428571429,77.1428571428571,1,0,0
5,102,drugs_alcohol,456,neo_pancreas,296141,9023,0,continuous,gday,0.048790164169432,1.01759797106231,0,0,42.606,63.12,0,0,1
6,102,drugs_alcohol,456,neo_pancreas,296134,9023,0,continuous,gday,1.32707500145992,0.875047173095767,0,0,77.1428571428571,115.714285714286,1,0,0
7,102,drugs_alcohol,456,neo_pancreas,298283,9023,0,continuous,gday,0.405465108108164,0.834396827499723,0,0,42.66,63.99,1,0,0
8,102,drugs_alcohol,456,neo_pancreas,296141,9023,0,continuous,gday,0.131028262406404,0.21321517371466,0,0,0.789,41.817,0,0,1
9,102,drugs_alcohol,456,neo_pancreas,296141,9023,0,continuous,gday,0.418710334858185,0.22896930999186,0,0,42.606,63.12,0,0,1
10,102,drugs_alcohol,456,neo_pancreas,296134,9023,0,continuous,gday,1.54329810992956,0.820053935224935,0,0,0.142857142857143,19.7142857142857,1,0,0
11,102,drugs_alcohol,456,neo_pancreas,346874,9023,0,continuous,gday,-0.186329578191493,0.204837256777335,0,0,1.42857142857143,2.85714285714286,0,0,0
12,102,drugs_alcohol,456,neo_pancreas,346874,9023,0,continuous,gday,-0.150822889734584,0.206372192878844,0,0,4.28571428571429,8.57142857142857,0,0,0
13,102,drugs_alcohol,456,neo_pancreas,346874,9023,0,continuous,gday,0.182321556793955,0.210078826128365,0,0,10,18.5714285714286,0,0,0
14,102,drugs_alcohol,456,neo_pancreas,346874,9023,0,continuous,gday,0.307484699747961,0.195336192192546,0,0,20,30,0,0,0
15,102,drugs_alcohol,456,neo_pancreas,542866,9023,0,continuous,gday,1.50629715351459,0.560705368332638,0,0,1,67.328,0,0,0
16,102,drugs_alcohol,456,neo_pancreas,542866,9023,0,continuous,gday,1.12492959698548,0.583987504281307,0,0,67.591,101.3865,0,0,0
17,102,drugs_alcohol,456,neo_pancreas,542867,9023,0,continuous,gday,0.0953101798043249,0.23081539603276,0,0,1,1.67142857142857,0,0,0
18,102,drugs_alcohol,456,neo_pancreas,542867,9023,0,continuous,gday,0,0.228919061731795,0,0,1.85714285714286,5.38571428571429,0,0,0
19,102,drugs_alcohol,456,neo_pancreas,542867,9023,0,continuous,gday,0,0.236165682609362,0,0,5.57142857142857,16.5285714285714,0,0,0
20,102,drugs_alcohol,456,neo_pancreas,542867,9023,0,continuous,gday,-0.0618754037180875,0.236328791336668,0,0,16.7142857142857,25.0714285714286,0,0,0
21,102,drugs_alcohol,456,neo_pancreas,542878,9023,0,continuous,gday,-0.0100503358535015,0.154943969082276,0,0,1,22,0,0,0
22,102,drugs_alcohol,456,neo_pancreas,542878,9023,0,continuous,gday,0.231111720963387,0.211271291929563,0,0,23,45,0,0,0
23,102,drugs_alcohol,456,neo_pancreas,542878,9023,0,continuous,gday,0.451075619360217,0.229632997434763,0,0,46,69,0,0,0
24,102,drugs_alcohol,456,neo_pancreas,542884,9023,0,continuous,gday,0.0198026272961797,0.0350691302623987,1.14285714285714,2.28571428571429,3.42857142857143,6.85714285714286,0,0,0
25,102,drugs_alcohol,456,neo_pancreas,542884,9023,0,continuous,gday,0.0769610411361284,0.033115207020916,1.14285714285714,2.28571428571429,8,16,0,0,0
26,102,drugs_alcohol,456,neo_pancreas,542884,9023,0,continuous,gday,0.157003748809665,0.0588791898111681,1.14285714285714,2.28571428571429,17.1428571428571,25.7142857142857,0,0,0
27,102,drugs_alcohol,456,neo_pancreas,528708,9023,0,continuous,gday,0.0861776962410524,0.161861850377152,1.42857142857143,5,0,1.42857142857143,0,0,0
28,102,drugs_alcohol,456,neo_pancreas,528708,9023,0,continuous,gday,0.0861776962410524,0.178474412006521,1.42857142857143,5,5,10,0,0,0
29,102,drugs_alcohol,456,neo_pancreas,528708,9023,0,continuous,gday,0.27002713721306,0.180948989746313,1.42857142857143,5,10,20,0,0,0
30,102,drugs_alcohol,456,neo_pancreas,528708,9023,0,continuous,gday,0.207014169384326,0.206177681210391,1.42857142857143,5,20,40,0,0,0
31,102,drugs_alcohol,456,neo_pancreas,528708,9023,0,continuous,gday,-0.083381608939051,0.237796959446542,1.42857142857143,5,40,60,0,0,0
32,102,drugs_alcohol,456,neo_pancreas,542866,9023,0,continuous,gday,1.50629715351459,0.560705368332638,0,0,0.191780821917808,90.4821917808219,0,0,0
33,102,drugs_alcohol,456,neo_pancreas,542866,9023,0,continuous,gday,1.12492959698548,0.583987504281307,0,0,90.4821917808219,135.723287671233,0,0,0
34,102,drugs_alcohol,456,neo_pancreas,542870,9023,0,continuous,gday,0.113328685307003,0.1655550924099,0,0.142857142857143,20,40,1,0,0
35,102,drugs_alcohol,456,neo_pancreas,542870,9023,0,continuous,gday,0.0861776962410524,0.171869667016032,0,0.142857142857143,40,60,1,0,0
36,102,drugs_alcohol,456,neo_pancreas,542870,9023,0,continuous,gday,0.131028262406404,0.205373749174472,0,0.142857142857143,60,90,1,0,0
37,102,drugs_alcohol,456,neo_pancreas,542870,9023,0,continuous,gday,0.524728528934982,0.17149734580061,0,0.142857142857143,0.142857142857143,20,1,0,0
38,102,drugs_alcohol,456,neo_pancreas,542871,9023,0,continuous,gday,-0.63487827243597,0.608792494126211,0.1,4.9,0,0,0,0,0
39,102,drugs_alcohol,456,neo_pancreas,542871,9023,0,continuous,gday,0.198850858745165,0.20198412857183,0.1,4.9,5,14.9,0,0,0
40,102,drugs_alcohol,456,neo_pancreas,542871,9023,0,continuous,gday,0.231111720963387,0.20821614115234,0.1,4.9,15,29.9,0,0,0
41,102,drugs_alcohol,456,neo_pancreas,542871,9023,0,continuous,gday,0.350656871613169,0.216147413364083,0.1,4.9,30,59.9,0,0,0
42,102,drugs_alcohol,456,neo_pancreas,542871,9023,0,continuous,gday,0.570979546585738,0.261106189343814,0.1,4.9,60,90,0,0,0
43,102,drugs_alcohol,456,neo_pancreas,542871,9023,0,continuous,gday,-0.328504066972036,0.216921623490397,0.1,4.9,0,0,0,0,0
