seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_sex
1,102,drugs_alcohol,438,neo_prostate,296215,9023,0,continuous,gday,0.0145930023029001,0.307953363567461,0,0,6,13,0,1,1
2,102,drugs_alcohol,438,neo_prostate,296141,9023,0,continuous,gday,-0.198450938723838,0.40216017683585,0,0,63.909,95.8635,0,0,1
3,102,drugs_alcohol,438,neo_prostate,296193,9023,0,continuous,gday,0.198850858745165,0.176823260346925,0,0,8,28,1,0,0
4,102,drugs_alcohol,438,neo_prostate,296215,9023,0,continuous,gday,-0.119459440037328,0.32132648716889,0,0,1,5,0,1,1
5,102,drugs_alcohol,438,neo_prostate,296193,9023,0,continuous,gday,-0.116533816255952,0.285211830236023,0,0,30,45,1,0,0
6,102,drugs_alcohol,438,neo_prostate,296215,9023,0,continuous,gday,-0.117883040656717,0.304824869246133,0,0,14,21,0,1,1
7,102,drugs_alcohol,438,neo_prostate,296193,9023,0,continuous,gday,-0.0725706928348354,0.172928497048254,0,0,1,6,1,0,0
8,102,drugs_alcohol,438,neo_prostate,296141,9023,0,continuous,gday,-0.415515443961666,0.293687760753452,0,0,42.606,63.12,0,0,1
9,102,drugs_alcohol,438,neo_prostate,296141,9023,0,continuous,gday,-0.105360515657826,0.216764347258032,0,0,0.789,41.817,0,0,1
10,102,drugs_alcohol,438,neo_prostate,528708,9023,0,continuous,gday,0.0198026272961797,0.0546963957513916,1.42857142857143,5,0,1.42857142857143,0,0,0
11,102,drugs_alcohol,438,neo_prostate,528708,9023,0,continuous,gday,0.104360015324243,0.0548753519430983,1.42857142857143,5,5,10,0,0,0
12,102,drugs_alcohol,438,neo_prostate,528708,9023,0,continuous,gday,0.0769610411361284,0.0542808072139447,1.42857142857143,5,10,20,0,0,0
13,102,drugs_alcohol,438,neo_prostate,528708,9023,0,continuous,gday,0.122217632724249,0.0584353493921765,1.42857142857143,5,20,40,0,0,0
14,102,drugs_alcohol,438,neo_prostate,528708,9023,0,continuous,gday,0.104360015324243,0.0713874732119273,1.42857142857143,5,40,60,0,0,0
15,102,drugs_alcohol,438,neo_prostate,543768,9023,0,continuous,gday,0.0582689081239758,0.0217754716712135,0,0,1,13,0,0,1
16,102,drugs_alcohol,438,neo_prostate,543768,9023,0,continuous,gday,0.0676586484738149,0.0263720291974069,0,0,13,39,0,0,1
17,102,drugs_alcohol,438,neo_prostate,543768,9023,0,continuous,gday,0.165514438477573,0.034643250295679,0,0,39,78,0,0,1
18,102,drugs_alcohol,438,neo_prostate,543768,9023,0,continuous,gday,0.19062035960865,0.0461272772728111,0,0,78,117,0,0,1
19,102,drugs_alcohol,438,neo_prostate,543772,9023,0,continuous,gday,0.113328685307003,0.0912626620072699,0,0,1,7.65,0,0,1
20,102,drugs_alcohol,438,neo_prostate,543772,9023,0,continuous,gday,0.122217632724249,0.0923418357572515,0,0,7.65,22.8,0,0,1
21,102,drugs_alcohol,438,neo_prostate,543772,9023,0,continuous,gday,0.215111379616945,0.0983832859214247,0,0,22.8,34.2,0,0,1
22,102,drugs_alcohol,438,neo_prostate,543793,9023,0,continuous,gday,-0.0512932943875506,0.0826657440363918,0.1,4.9,0,0,0,0,1
23,102,drugs_alcohol,438,neo_prostate,543793,9023,0,continuous,gday,-0.0100503358535015,0.0563504672398455,0.1,4.9,5,14.9,0,0,1
24,102,drugs_alcohol,438,neo_prostate,543793,9023,0,continuous,gday,-0.0512932943875506,0.0641108235410475,0.1,4.9,15,29.9,0,0,1
25,102,drugs_alcohol,438,neo_prostate,543793,9023,0,continuous,gday,0.0295588022415444,0.0691007536059693,0.1,4.9,30,59.9,0,0,1
26,102,drugs_alcohol,438,neo_prostate,543793,9023,0,continuous,gday,-0.127833371509885,0.103434976558205,0.1,4.9,60,90,0,0,1
27,102,drugs_alcohol,438,neo_prostate,543797,9023,0,continuous,gday,-0.105360515657826,0.0987966298533097,0,0,1,1.31,0,0,1
28,102,drugs_alcohol,438,neo_prostate,543797,9023,0,continuous,gday,0.0198026272961797,0.0921861704701378,0,0,1.32,2.41,0,0,1
29,102,drugs_alcohol,438,neo_prostate,543797,9023,0,continuous,gday,0.113328685307003,0.0727299555760942,0,0,2.42,7.03,0,0,1
30,102,drugs_alcohol,438,neo_prostate,543797,9023,0,continuous,gday,0.148420005118273,0.0682860728941611,0,0,7.04,16.4,0,0,1
31,102,drugs_alcohol,438,neo_prostate,543797,9023,0,continuous,gday,0.131028262406404,0.0714483349659596,0,0,16.5,24.75,0,0,1
32,102,drugs_alcohol,438,neo_prostate,543803,9023,0,continuous,gday,-0.0202027073175195,0.110860508231182,0,0,1,19,0,0,1
33,102,drugs_alcohol,438,neo_prostate,543803,9023,0,continuous,gday,-0.0408219945202552,0.126198020876558,0,0,20,39,0,0,1
34,102,drugs_alcohol,438,neo_prostate,543803,9023,0,continuous,gday,-0.0512932943875506,0.159618851980718,0,0,40,59,0,0,1
35,102,drugs_alcohol,438,neo_prostate,543803,9023,0,continuous,gday,-0.0618754037180875,0.169092303843014,0,0,60,90,0,0,1
36,102,drugs_alcohol,438,neo_prostate,543807,9023,0,continuous,gday,0.0953101798043249,0.142759129575363,0,0,1,6.42857142857143,0,0,1
37,102,drugs_alcohol,438,neo_prostate,543807,9023,0,continuous,gday,0.182321556793955,0.130312659123977,0,0,6.44285714285714,12.8571428571429,0,0,1
38,102,drugs_alcohol,438,neo_prostate,543807,9023,0,continuous,gday,0.262364264467491,0.16224203232653,0,0,12.8714285714286,19.2857142857143,0,0,1
39,102,drugs_alcohol,438,neo_prostate,543807,9023,0,continuous,gday,0.262364264467491,0.135364349760758,0,0,19.2857142857143,28.9285714285714,0,0,1
40,102,drugs_alcohol,438,neo_prostate,543809,9023,0,continuous,gday,-0.0618754037180875,0.167267759700267,0,1.80285714285714,1.80285714285714,12.62,0,0,1
41,102,drugs_alcohol,438,neo_prostate,543809,9023,0,continuous,gday,0.0582689081239758,0.190431928894193,0,1.80285714285714,14.4228571428571,25.24,0,0,1
