seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_sex
1,102,drugs_alcohol,414,neo_stomach,296134,9023,0,continuous,gday,-0.198450939,0.307135919,0,0,19.85714286,77.14285714,1,0,0
2,102,drugs_alcohol,414,neo_stomach,296144,9023,0,continuous,gday,0.262364264,0.269401192,0,0,22.8,34.2,0,0,1
3,102,drugs_alcohol,414,neo_stomach,298510,9023,0,continuous,gday,-0.261364764,0.172142358,0,0,15,29.9,0,0,0
4,102,drugs_alcohol,414,neo_stomach,296154,9023,0,continuous,gday,0.157003749,0.291597972,0,0,42.606,63.909,0,0,1
5,102,drugs_alcohol,414,neo_stomach,296134,9023,0,continuous,gday,0.951657876,0.455875339,0,0,1.714285714,2.571428571,1,0,0
6,102,drugs_alcohol,414,neo_stomach,298510,9023,0,continuous,gday,-0.083381609,0.272260653,0,0,15,29.9,0,0,0
7,102,drugs_alcohol,414,neo_stomach,296141,9023,0,continuous,gday,0.21511138,0.122840517,0,0,42.606,63.12,0,0,1
8,102,drugs_alcohol,414,neo_stomach,296154,9023,0,continuous,gday,0.262364264,0.251821026,0,0,21.303,40.4757,0,0,1
9,102,drugs_alcohol,414,neo_stomach,298510,9023,0,continuous,gday,0,0.196664511,0,0,30,45,0,0,0
10,102,drugs_alcohol,414,neo_stomach,298283,9023,0,continuous,gday,0.09531018,0.31958239,0,0,42.66,63.99,1,0,0
11,102,drugs_alcohol,414,neo_stomach,296141,9023,0,continuous,gday,-0.072570693,0.196306163,0,0,0.789,41.817,0,0,1
12,102,drugs_alcohol,414,neo_stomach,298510,9023,0,continuous,gday,-0.287682072,0.276363474,0,0,1,4.9,0,0,0
13,102,drugs_alcohol,414,neo_stomach,296134,9023,0,continuous,gday,0.009950331,0.289055731,0,0,77.14285714,115.7142857,1,0,0
14,102,drugs_alcohol,414,neo_stomach,296134,9023,0,continuous,gday,-0.15082289,0.737339734,0,0,0.142857143,1.714285714,1,0,0
15,102,drugs_alcohol,414,neo_stomach,298283,9023,0,continuous,gday,0.262364264,0.292125588,0,0,1,40.527,1,0,0
16,102,drugs_alcohol,414,neo_stomach,324085,9023,0,continuous,gday,0.31481074,0.155771979,0,4.9,0,0,0,0,0
