seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_incidence,cov_age,cov_followup_excl_comment
1,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.597837001,0.222150091,0,0,0.142857143,21.28571429,0,0,1
2,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.46203546,0.256837944,0,0,0.142857143,21.28571429,0,0,1
3,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.478035801,0.170958587,0,0,0.142857143,21.28571429,0,0,1
4,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.597837001,0.239680509,0,0,21.42857143,42.71428571,0,0,1
5,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.713349888,0.721504931,0,0,21.42857143,42.71428571,0,0,1
6,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.527632742,0.219954977,0,0,21.42857143,42.71428571,0,0,1
7,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.94160854,0.291597972,0,0,42.85714286,64.14285714,0,0,1
8,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,0.378436436,0.730361448,0,0,42.85714286,64.14285714,0,0,1
9,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.755022584,0.267811766,0,0,42.85714286,64.14285714,0,0,1
10,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,-0.127833372,0.238344193,0,0,64.28571429,96.42857143,0,0,1
11,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,1.54329811,0.634219504,0,0,64.28571429,96.42857143,0,0,1
12,102,drugs_alcohol,543,neuro_dementia,541782,9023,0,continuous,gday,0.058268908,0.219296861,0,0,64.28571429,96.42857143,0,0,1
13,102,drugs_alcohol,543,neuro_dementia,552631,9023,0,continuous,gday,0.371563556,0.12939995,1.714285714,24,0,1.714285714,0,0,1
14,102,drugs_alcohol,543,neuro_dementia,552631,9023,0,continuous,gday,0.019802627,0.143231979,1.714285714,24,24,36,0,0,1
15,102,drugs_alcohol,543,neuro_dementia,541784,9023,0,continuous,gday,-0.210721031,0.509429929,0.3,0.3,3.5,3.5,0,0,1
16,102,drugs_alcohol,543,neuro_dementia,541784,9023,0,continuous,gday,0.039220713,0.012821897,0.3,0.3,23.8,23.8,0,0,1
17,102,drugs_alcohol,543,neuro_dementia,552638,9023,0,continuous,gday,0,0.353646521,0,0,1.714285714,5.142857143,0,0,0
18,102,drugs_alcohol,543,neuro_dementia,552638,9023,0,continuous,gday,-0.223143551,0.519612737,0,0,5.142857143,24,0,0,0
19,102,drugs_alcohol,543,neuro_dementia,552638,9023,0,continuous,gday,0.875468737,0.642856625,0,0,24,36,0,0,0
20,102,drugs_alcohol,543,neuro_dementia,210009,9023,0,continuous,gday,0.048790164,0.026622453,1,5,0,1,0,0,0
21,102,drugs_alcohol,543,neuro_dementia,210009,9023,0,continuous,gday,-0.020202707,0.031276103,1,5,5,12,0,0,0
22,102,drugs_alcohol,543,neuro_dementia,210009,9023,0,continuous,gday,0.09531018,0.041837494,1,5,12,24,0,0,0
23,102,drugs_alcohol,543,neuro_dementia,210009,9023,0,continuous,gday,0.165514438,0.075901625,1,5,24,36,0,0,0
24,102,drugs_alcohol,543,neuro_dementia,549298,9023,0,continuous,gday,-1.897119985,0.831147076,0,0,1,15,0,0,1
25,102,drugs_alcohol,543,neuro_dementia,549298,9023,0,continuous,gday,-0.755022584,0.900517922,0,0,15,30,0,0,1
26,102,drugs_alcohol,543,neuro_dementia,549298,9023,0,continuous,gday,-0.820980552,1.121662053,0,0,30,45,0,0,1
27,102,drugs_alcohol,543,neuro_dementia,549300,9023,0,continuous,gday,-0.693147181,0.216147413,0,1.142857143,1.142857143,24,1,0,1
28,102,drugs_alcohol,543,neuro_dementia,549302,9023,0,continuous,gday,-0.198450939,0.198640141,0,0,1.428571429,1.428571429,0,0,1
29,102,drugs_alcohol,543,neuro_dementia,549302,9023,0,continuous,gday,-0.287682072,0.198394023,0,0,1.428571429,10,0,0,1
30,102,drugs_alcohol,543,neuro_dementia,549302,9023,0,continuous,gday,-0.544727175,0.219954977,0,0,10,30,0,0,1
31,102,drugs_alcohol,543,neuro_dementia,549302,9023,0,continuous,gday,0,0.482976126,0,0,40,60,0,0,1
32,102,drugs_alcohol,543,neuro_dementia,550441,9023,0,continuous,gday,-0.116533816,0.126642063,0,1.714285714,3.428571429,24,0,0,1
33,102,drugs_alcohol,543,neuro_dementia,550441,9023,0,continuous,gday,-0.579818495,0.2393545,0,1.68,36,48,0,0,1
34,102,drugs_alcohol,543,neuro_dementia,550441,9023,0,continuous,gday,-0.127833372,0.148221909,0,1.714285714,3.428571429,24,0,0,1
35,102,drugs_alcohol,543,neuro_dementia,550441,9023,0,continuous,gday,-0.634878272,0.294050895,0,1.68,36,48,0,0,1
36,102,drugs_alcohol,543,neuro_dementia,550466,9023,0,continuous,gday,-0.597837001,0.296207308,0,1.714285714,3.428571429,24,0,0,1
37,102,drugs_alcohol,543,neuro_dementia,550466,9023,0,continuous,gday,-1.272965676,0.641754671,0,1.68,36,48,0,0,1
38,102,drugs_alcohol,543,neuro_dementia,550466,9023,0,continuous,gday,-0.733969175,1.066199584,0,1.68,60,90,0,0,1
39,102,drugs_alcohol,543,neuro_dementia,550466,9023,0,continuous,gday,-0.210721031,0.24375292,0,1.714285714,3.428571429,24,0,0,1
40,102,drugs_alcohol,543,neuro_dementia,550466,9023,0,continuous,gday,-1.660731207,0.658218579,0,1.68,36,48,0,0,1
41,102,drugs_alcohol,543,neuro_dementia,550466,9023,0,continuous,gday,-1.171182982,1.046592695,0,1.68,60,90,0,0,1
42,102,drugs_alcohol,543,neuro_dementia,549335,9023,0,continuous,gday,-0.274436846,0.179218602,0,0,1,9,0,0,1
43,102,drugs_alcohol,543,neuro_dementia,549335,9023,0,continuous,gday,-0.248461359,0.238901388,0,0,10,19,0,0,1
44,102,drugs_alcohol,543,neuro_dementia,549335,9023,0,continuous,gday,-0.916290732,0.436245265,0,0,20,29,0,0,1
45,102,drugs_alcohol,543,neuro_dementia,549335,9023,0,continuous,gday,-0.328504067,0.516608977,0,0,30,39,0,0,1
46,102,drugs_alcohol,543,neuro_dementia,549335,9023,0,continuous,gday,-0.673344553,0.593693292,0,0,40,60,0,0,1
47,102,drugs_alcohol,543,neuro_dementia,561353,9023,0,continuous,gday,-0.198450939,0.076956203,0,0,1,1.3,1,0,0
48,102,drugs_alcohol,543,neuro_dementia,561353,9023,0,continuous,gday,-0.162518929,0.059595625,0,0,1.3,24.9,1,0,0
49,102,drugs_alcohol,543,neuro_dementia,561353,9023,0,continuous,gday,-0.301105093,0.103434977,0,0,25,44.9,1,0,0
50,102,drugs_alcohol,543,neuro_dementia,561353,9023,0,continuous,gday,-0.248461359,0.155844154,0,0,45,67.5,1,0,0
51,102,drugs_alcohol,543,neuro_dementia,542327,9023,0,continuous,gday,-0.385662481,0.192607802,0,0,1.428571429,10,0,0,0
52,102,drugs_alcohol,543,neuro_dementia,549337,9023,0,continuous,gday,-0.597837001,0.49640565,0,0,10,40,0,0,1
53,102,drugs_alcohol,543,neuro_dementia,549337,9023,0,continuous,gday,-0.579818495,0.560516474,0,0,50,75,0,0,1
54,102,drugs_alcohol,543,neuro_dementia,309891,9023,0,continuous,gday,-0.135819723,0.161934638,0,0,6,10,0,1,1
55,102,drugs_alcohol,543,neuro_dementia,309891,9023,0,continuous,gday,0.185649347,0.248221591,0,0,12,18,0,1,1
56,102,drugs_alcohol,543,neuro_dementia,309891,9023,0,continuous,gday,-0.141563564,0.096715061,0,0,1,4,0,1,1
57,102,drugs_alcohol,543,neuro_dementia,541595,9023,0,continuous,gday,1.214912744,0.781934097,0,14,16,24,0,0,1
58,102,drugs_alcohol,543,neuro_dementia,541595,9023,0,continuous,gday,-0.186329578,0.207384791,0,14,16,24,0,0,1
59,102,drugs_alcohol,543,neuro_dementia,541595,9023,0,continuous,gday,0.113328685,0.294689449,0,14,16,24,0,0,1
60,102,drugs_alcohol,543,neuro_dementia,541595,9023,0,continuous,gday,0.357674444,1.183564187,0,14,16,24,0,0,1
61,102,drugs_alcohol,543,neuro_dementia,541595,9023,0,continuous,gday,-0.301105093,0.250211544,0,14,16,24,0,0,1
