seq,rei_id,risk_id,cause_id,acause,study_id,bundle_id,bundle_version_id,risk_type,risk_unit,ln_rr,ln_rr_se,ref_risk_lower,ref_risk_upper,alt_risk_lower,alt_risk_upper,cov_age,cov_exposure_quality
1,102,drugs_alcohol,297,tb,298339,9023,0,continuous,gday,1.202972304,0.263480778,0,25.14285715,25.14285715,37.71428572,1,2
2,102,drugs_alcohol,297,tb,298339,9023,0,continuous,gday,0.579818495,0.235201212,0,0,0,25.14285715,1,2
3,102,drugs_alcohol,297,tb,298341,9023,0,continuous,gday,0.836999108,0.395642761,0,30,30,45,1,2
4,102,drugs_alcohol,297,tb,298341,9023,0,continuous,gday,1.152852058,0.380561224,0,30,60,120,1,2
5,102,drugs_alcohol,297,tb,298341,9023,0,continuous,gday,0.836999108,0.538945049,0,30,120,180,1,2
6,102,drugs_alcohol,297,tb,446993,9023,0,continuous,gday,-0.916290732,0.821141792,0,0,0,0.999999999,1,0
7,102,drugs_alcohol,297,tb,324111,9023,0,continuous,gday,0.470003629,0.477811845,0,0,7.8924,19.731,1,2
8,102,drugs_alcohol,297,tb,324111,9023,0,continuous,gday,0.875468737,0.456203348,0,0,20.52024,39.462,1,2
9,102,drugs_alcohol,297,tb,324111,9023,0,continuous,gday,2.197224577,0.587394156,0,0,40.25124,59.193,1,2
10,102,drugs_alcohol,297,tb,324111,9023,0,continuous,gday,2.863066307,0.562493811,0,0,59.98224,149.16636,1,2
11,102,drugs_alcohol,297,tb,446993,9023,0,continuous,gday,1.609437912,0.410570896,0,0,20,30,1,0
12,102,drugs_alcohol,297,tb,413811,9023,0,continuous,gday,0.636576829,0.313800793,0,0,14.28571429,21.42857144,1,2
13,102,drugs_alcohol,297,tb,298335,9023,0,continuous,gday,-0.510825624,0.233747636,0,0,0,1.428571429,1,2
14,102,drugs_alcohol,297,tb,298335,9023,0,continuous,gday,0.182321557,0.280258237,0,0,1.428571429,2.142857144,1,2
15,102,drugs_alcohol,297,tb,413811,9023,0,continuous,gday,-0.198450939,0.2928807,0,0,0,14.28571429,1,2
16,102,drugs_alcohol,297,tb,454216,9023,0,continuous,gday,1.463255402,0.463356793,0,55.368,28.6068,42.9102,1,2
17,102,drugs_alcohol,297,tb,454143,9023,0,continuous,gday,0.0582689081239758,0.188770020470419,0,0,0,12,0,1
18,102,drugs_alcohol,297,tb,454143,9023,0,continuous,gday,0.371563556432483,0.137115783379631,0,0,24,36,0,1
19,102,drugs_alcohol,297,tb,298340,9023,0,continuous,gday,-0.105360515657826,0.233747635682182,0,0,14,28,0,1
20,102,drugs_alcohol,297,tb,298340,9023,0,continuous,gday,0.693147180559945,0.309444550981085,0,0,42,63,0,1
21,102,drugs_alcohol,297,tb,298340,9023,0,continuous,gday,-0.105360515657826,0.233747635682182,0,0,0,28,0,1
22,102,drugs_alcohol,297,tb,298340,9023,0,continuous,gday,0.693147180559945,0.309444550981085,0,0,42,63,0,1
